decision,confidence,action,old_en_title,old_en_slug,old_es_slug,proposed_corpus_title,proposed_corpus_en_slug,collision,old_id,new_id
,HIGH,REDIRECT+UNPUBLISH,Islamic Insights: The Grand Islamic Cairo Day Tour,grand-islamic-cairo-day-tour,perspectivas-islamicas-el-gran-recorrido-islamico-de-un-dia-por-el-cairo,"Islamic Cairo Day Tour: The Citadel, Mosques & Khan El-Khalili",islamic-cairo-day-tour,,wp-page-89348,tour.islamic-cairo-day-tour
,HIGH,REDIRECT+UNPUBLISH,"Karnak, Luxor Temples Museum Day Tour",karnak-luxor-temples-and-museum-day-tour,reyes-y-columnas-visita-de-un-dia-a-los-templos-y-museo-de-karnak-y-luxor,"Karnak, Luxor Temple & the Luxor Museum: One Day on the East Bank",day-tour-to-karnak-luxor-temples-luxor-museum,shared:2,wp-page-88172,tour.day-tour-to-karnak-luxor-temples-luxor-museum
,HIGH,REDIRECT+UNPUBLISH,Luxor Full Day Tour from Hurghada,luxor-full-day-tour-from-hurghada,de-hurghada-a-luxor-descubrimiento-de-la-ciudad-antigua-en-dia-completo,"Luxor Full Day Tour from Hurghada: Temples, Tombs & the West Bank",luxor-day-tour-from-hurghadafull-day,shared:2,wp-page-88562,tour.luxor-day-tour-from-hurghadafull-day
,HIGH,REDIRECT+UNPUBLISH,Luxor Highlights: One-Day Group Tour from Hurghada,group-tour-luxor-hurghada,destacados-de-luxor-tour-en-grupo-de-un-dia-desde-hurghada,Luxor Highlights: Group Day Tour from Hurghada,luxor-highlights-group-day-tour-from-hurghada,,wp-page-151868,tour.luxor-highlights-group-day-tour-from-hurghada
,HIGH,REDIRECT+UNPUBLISH,Majestic Abu Simbel Temples Day Tour,abu-simbel-temples-day-tour,excursion-de-un-dia-a-los-majestuosos-templos-de-abu-simble,Abu Simbel Temples Day Tour from Aswan,abu-simbel-temples-day-tour-from-aswan,,wp-page-87460,tour.abu-simbel-temples-day-tour-from-aswan
,HIGH,REDIRECT+UNPUBLISH,Marine Marvels: Private Snorkeling Adventure in Marsa Alam,private-snorkeling-adventure-in-marsa-alam,aventura-privada-de-snorkel-en-marsa-alam,Private Snorkelling Day in Marsa Alam: Red Sea Reefs by Yacht,group-snorkeling-adventure-in-marsa-alam,,wp-page-115481,tour.group-snorkeling-adventure-in-marsa-alam
,HIGH,REDIRECT+UNPUBLISH,Marsa Alam to Cairo Small Group Tour Full-Day By Plane,marsa-alam-to-cairo-small-group-tour-full-day-by-plane,excursion-de-un-dia-en-avion-de-marsa-alam-a-el-cairo,Marsa Alam to Cairo Full-Day Tour by Plane,marsa-alam-to-cairo-full-day-tour-by-plane,,wp-page-135858,tour.marsa-alam-to-cairo-full-day-tour-by-plane
,HIGH,REDIRECT+UNPUBLISH,"Memphis, Saqqara Dahshur Tour from Alexandria",memphis-saqqara-dahshur-tour-from-alexandria,excursion-privada-de-un-dia-a-menfis-saqqara-y-dahshur-desde-alejandria,"Memphis, Saqqara & Dahshur: A Full Day From Alexandria",private-day-trip-to-memphis-saqqara-and-dahshur-from-alexandria,,wp-page-118521,tour.private-day-trip-to-memphis-saqqara-and-dahshur-from-alexandria
,HIGH,REDIRECT+UNPUBLISH,"Memphis, Saqqara, Citadel, & Khan El-Khalili",memphis-saqqara-citadel-khan-tour,menfis-saqqara-ciudadela-y-khan-el-khalili,"Memphis, Saqqara, the Citadel & Khan El-Khalili: A Cairo Day Tour",private-tour-memphis-saqqara-citadel-and-khan-el-khalili-bazaar,,wp-page-87840,tour.private-tour-memphis-saqqara-citadel-and-khan-el-khalili-bazaar
,HIGH,REDIRECT+UNPUBLISH,Mount Sinai Sunrise Trek,mount-sinai-sunrise-trek,ascenso-al-amanecer-del-monte-sinai,Mount Sinai Sunrise Trek & St. Catherine's Monastery: Group Tour,mount-sinai-sunrise-trek-group-day-tour,,wp-page-145919,tour.mount-sinai-sunrise-trek-group-day-tour
,HIGH,REDIRECT+UNPUBLISH,Nile Link: Private Car Transfer from Aswan to Luxor,private-car-transfer-from-aswan-to-luxor,nilo-link-traslado-en-autobus-privado-de-asuan-a-luxor,"Private Transfer: Aswan to Luxor by Road, With Stops",private-tour-transfer-from-aswan-to-luxor-by-bus,,wp-page-88611,tour.private-tour-transfer-from-aswan-to-luxor-by-bus
,HIGH,REDIRECT+UNPUBLISH,"Nile’s Ancient Harmony: Esna, Edfu Kom Ombo Day Tour",esna-edfu-kom-ombo-day-tour,visita-a-esna-edfu-y-kom-ombo,"Esna, Edfu & Kom Ombo Temples: Group Day Tour from Luxor",esna-edfu-kom-ombo-temples-group-day-tour-from-luxor,shared:2,wp-page-87510,tour.esna-edfu-kom-ombo-temples-group-day-tour-from-luxor
,HIGH,REDIRECT+UNPUBLISH,"Old Kingdom Trio: Group Day Tour to Memphis, Saqqara, and Dahshur",group-day-tour-to-memphis-saqqara-and-dahshur,trio-del-reino-antiguo-excursion-en-grupo-de-un-dia-a-menfis-saqqara-y-dahshur,"Memphis, Saqqara & Dahshur: Group Day Tour from Cairo",memphis-saqqara-and-dahshur-group-day-tour,,wp-page-88107,tour.memphis-saqqara-and-dahshur-group-day-tour
,HIGH,REDIRECT+UNPUBLISH,Private Tour: Dendera And Abydos Temples From Hurghada,dendera-and-abydos-temples-from-hurghada,excursion-privada-templos-de-dendera-y-abydos-desde-hurghada,Dendera & Abydos Temples: Group Day Tour from Hurghada,dendera-and-abydos-temple-day-tour-from-hurghada,shared:2,wp-page-88563,tour.dendera-and-abydos-temple-day-tour-from-hurghada
,HIGH,REDIRECT+UNPUBLISH,Private Tour: Transfer from Luxor to Hurghada by Car,private-tour-transfer-from-luxor-to-hurghada-by-car,excursion-privada-traslado-de-luxor-a-hurghada-en-autobus,Private Transfer: Luxor to Hurghada by Car,private-tour-transfer-from-luxor-to-hurghada-by-bus,,wp-page-88181,tour.private-tour-transfer-from-luxor-to-hurghada-by-bus
,HIGH,REDIRECT+UNPUBLISH,"Pyramids of Giza, Sphinx, Memphis & Saqqara",pyramids-of-giza-sphinx-memphis-and-saqqara-tour,piramides-de-guiza-esfinge-menfis-y-saqqara,"Giza, Memphis & Saqqara: Egypt's Oldest Miles in One Day",private-tour-pyramids-of-giza-sphinx-memphis-and-saqqara,,wp-page-87765,tour.private-tour-pyramids-of-giza-sphinx-memphis-and-saqqara
,HIGH,REDIRECT+UNPUBLISH,"Pyramids, Sphinx Egyptian Museum Tour",pyramids-of-giza-sphinx-egyptian-museum-khan-el-khalili-tour,piramides-de-guiza-y-esfinge-museo-egipcio-y-khan-el-khalili,"Pyramids, Sphinx, Egyptian Museum & Khan el-Khalili: One Day in Cairo",private-tour-pyramids-of-giza-sphinx-egyptian-museum-and-khan-el-khalili-bazaar,shared:2,wp-page-87766,tour.private-tour-pyramids-of-giza-sphinx-egyptian-museum-and-khan-el-khalili-bazaar
,HIGH,REDIRECT+UNPUBLISH,Snorkeling Sea Trip in Sharm El Sheikh,snorkeling-sea-trip-in-sharm-el-sheikh,escapada-exclusiva-excursion-privada-de-snorkel-en-el-mar-en-sharm-el-sheikh,Private Snorkelling Day Trip in Sharm El Sheikh — Red Sea Reefs,diving-sea-trip-in-sharm-el-sheikh,,wp-page-87600,tour.diving-sea-trip-in-sharm-el-sheikh
,HIGH,REDIRECT+UNPUBLISH,Temples of Time: Day Tour to Nubian Temples from Aswan,temples-of-time-day-tour-to-nubian-temples-from-aswan,templos-del-tiempo-excursion-de-un-dia-a-los-templos-nubios-desde-asuan,"Nubian Temples Day Tour from Aswan: Kalabsha, Beit el-Wali & Kertassi",nubian-temples-day-tour-from-aswan,,wp-page-113187,tour.nubian-temples-day-tour-from-aswan
,HIGH,REDIRECT+UNPUBLISH,Thrilling Desert Rides: Hurghada Quad Bike Adventure,desert-rides-hurghada-quad-bike-adventure,emocionantes-paseos-por-el-desierto-aventura-en-quad-en-hurghada,"Hurghada Desert Safari: Quad Bikes, Camels & Bedouin Stargazing",hurghada-quad-bike-tour,,wp-page-88564,tour.hurghada-quad-bike-tour
,HIGH,REDIRECT+UNPUBLISH,West Bank Wonders: The Grand West Bank Tour,the-grand-west-bank-tour,maravillas-de-la-orilla-oeste-de-luxor-recorrido-completo,The Grand West Bank: Group Day Tour from Luxor,grand-west-bank-group-day-tour-luxor,shared:2,wp-page-87527,tour.grand-west-bank-group-day-tour-luxor
,MED,REDIRECT+UNPUBLISH,Ancient Egypt And The Red Sea Tour,ancient-egypt-and-the-red-sea-tour,excursion-al-antiguo-egipto-y-el-mar-rojo,"12-Day Egypt and the Red Sea: Cairo, the Nile, Luxor, Aswan and Alexandria",egypt-and-the-red-sea-paradise,,wp-page-86877,tour.egypt-and-the-red-sea-paradise
,MED,REDIRECT+UNPUBLISH,"Cairo Group Tour: Pyramids, Museum & Khan El Khalili",cairo-group-tour,tour-en-grupo-por-el-cairo-piramides-museo-y-khan-el-khalili,"Pyramids, Sphinx, Egyptian Museum & Khan el-Khalili: One Day in Cairo",private-tour-pyramids-of-giza-sphinx-egyptian-museum-and-khan-el-khalili-bazaar,shared:2,wp-page-151754,tour.private-tour-pyramids-of-giza-sphinx-egyptian-museum-and-khan-el-khalili-bazaar
,MED,REDIRECT+UNPUBLISH,Day Tour to Visit Cairo from Alexandria,day-tour-to-visit-cairo-from-alexandria,excursion-de-un-dia-para-visitar-el-cairo-desde-alejandria,"Cairo Day Tour from Alexandria: Pyramids, Museum & Khan el-Khalili",alexandria-to-cairo-private-day-tour-of-giza-pyramids-sphinx-egyptian-museum-khan-el-khalili,shared:2,wp-page-113456,tour.alexandria-to-cairo-private-day-tour-of-giza-pyramids-sphinx-egyptian-museum-khan-el-khalili
,MED,REDIRECT+UNPUBLISH,Desert Oasis: Bahariya Oasis And White Desert 3-Day Adventure,bahariya-oasis-and-white-desert-3-day-tour,oasis-del-desierto-aventura-de-3-dias-bahariya-desierto-blanco,"5-Day White Desert & Djara Cave Tour: Bahariya, the Golden Mummies and the Western Desert",the-white-desert-and-djara-cave,,wp-page-89439,tour.the-white-desert-and-djara-cave
,MED,REDIRECT+UNPUBLISH,Half-Day Heritage: Luxor & Karnak Temples Tour,half-day-tour-of-luxor-karnak-temples,patrimonio-de-medio-dia-excursion-a-luxor-y-los-templos-de-karnak,"Karnak, Luxor Temple & the Luxor Museum: One Day on the East Bank",day-tour-to-karnak-luxor-temples-luxor-museum,shared:2,wp-page-88175,tour.day-tour-to-karnak-luxor-temples-luxor-museum
,MED,REDIRECT+UNPUBLISH,Luxor Day Trip from Hurghada: Join Our Group Tour of Ancient Sites,safaga-to-luxor-full-day-group-ancient-city-adventure,excursion-de-un-dia-a-luxor-desde-hurghada-unete-a-nuestro-recorrido-en-grupo-por-los-sitios-antiguos,"Luxor Full Day Tour from Hurghada: Temples, Tombs & the West Bank",luxor-day-tour-from-hurghadafull-day,shared:2,wp-page-115614,tour.luxor-day-tour-from-hurghadafull-day
,MED,REDIRECT+UNPUBLISH,Oasis Legends: Fayoum Oasis and Beni Suef Pyramids Tour,fayoum-oasis-and-beni-suef-pyramids-tour,leyendas-de-los-oasis-excursion-al-oasis-de-fayoum-y-las-piramides-de-beni-suef,"Fayoum Oasis, Meidum & Hawara Pyramids: Group Day Tour from Cairo",fayoum-meidum-hawara-pyramids-group-day-tour,,wp-page-88109,tour.fayoum-meidum-hawara-pyramids-group-day-tour
,MED,REDIRECT+UNPUBLISH,Sands of History: Dendera and Abydos Temple Tour Hurghada,dendera-and-abydos-temple-tour-hurghada,arenas-de-la-historia-tour-de-los-templos-de-dendera-y-abydos-desde-hurghada,Dendera & Abydos Temples: Group Day Tour from Hurghada,dendera-and-abydos-temple-day-tour-from-hurghada,shared:2,wp-page-151510,tour.dendera-and-abydos-temple-day-tour-from-hurghada
,MED,REDIRECT+UNPUBLISH,Temple Alignments: Kom Ombo and Edfu Temples Day Tour,group-day-tour-to-kom-ombo-and-edfu-temples-from-aswan,alineaciones-de-templos-excursion-de-un-dia-a-los-templos-de-kom-ombo-y-edfu,"Esna, Edfu & Kom Ombo Temples: Group Day Tour from Luxor",esna-edfu-kom-ombo-temples-group-day-tour-from-luxor,shared:2,wp-page-87484,tour.esna-edfu-kom-ombo-temples-group-day-tour-from-luxor
,MED,REDIRECT+UNPUBLISH,Valley of Kings & Temples Day Tour,private-tour-valley-of-kings-temples-day-tour,excursion-de-un-dia-al-valle-de-los-reyes-y-los-templos,The Grand West Bank: Group Day Tour from Luxor,grand-west-bank-group-day-tour-luxor,shared:2,wp-page-88176,tour.grand-west-bank-group-day-tour-luxor
,UNIQUE,KEEP+TRANSLATE,11 Day Luxor To Cairo Egypt Nile Cruise Vacation from Australia,luxor-to-cairo-egypt-nile-cruise-vacation,vacaciones-de-11-dias-en-egipto-crucero-por-el-nilo-de-luxor-a-el-cairo-desde-australia,,,,wp-page-160357,
,UNIQUE,KEEP+TRANSLATE,11 Day Luxor To Cairo Egypt Nile Cruise Vacation from Canada,11-day-luxor-to-cairo-egypt-nile-cruise-vacation,crucero-por-el-nilo-de-11-dias-de-luxor-a-el-cairo-vacaciones-en-egipto-desde-canada,,,,wp-page-160477,
,UNIQUE,KEEP+TRANSLATE,11 Day Luxor To Cairo Egypt Nile Cruise Vacation from India,egypt-nile-cruise-vacation-from-india,vacaciones-en-egipto-crucero-por-el-nilo-de-11-dias-de-luxor-a-el-cairo-desde-india,,,,wp-page-160149,
,UNIQUE,KEEP+TRANSLATE,12 Day Red Sea & Desert Friends Escape,12-day-red-sea-desert-friends-escape,,,,,wp-page-238436,
,UNIQUE,KEEP+TRANSLATE,18-Day Grand Egypt Holiday Package from India,18-day-grand-egypt-holiday-package,paquete-de-vacaciones-de-18-dias-por-el-gran-egipto-desde-india,,,,wp-page-160096,
,UNIQUE,KEEP+TRANSLATE,2-Day Egypt s Majestic Trio: Aswan and Abu Simbel from Luxor,aswan-and-abu-simbel-from-luxor,trio-majestuoso-de-egipto-de-2-dias-asuan-y-abu-simbel-desde-luxor,,,,wp-page-102370,
,UNIQUE,KEEP+TRANSLATE,2-Day Nubian Desert Nature & Wildlife Retreat,2-day-desert-nature-wildlife-retreat,2-day-desert-nature-wildlife-retreat,,,,wp-page-130027,
,UNIQUE,KEEP+TRANSLATE,3 Days – Cairo Highlights for Friends,3-days-cairo-highlights-for-friends,,,,,wp-page-238461,
,UNIQUE,KEEP+TRANSLATE,3- Day Nubian Fishing Safari,3-day-nubian-fishing-safari,safari-de-pesca-en-nubia-de-3-dias,,,,wp-page-129996,
,UNIQUE,KEEP+TRANSLATE,3-Day Enchanting Siwa Oasis Adventure Tour,siwa-oasis-adventure-tour,excursion-de-aventura-de-3-dias-al-encantador-oasis-de-siwa,,,,wp-page-113061,
,UNIQUE,KEEP+TRANSLATE,3-Day Siwa Journey From Alexandria,3-day-siwa-journey-from-alexandria,viaje-de-3-dias-a-siwa-desde-alejandria,,,,wp-page-113521,
,UNIQUE,KEEP+TRANSLATE,4-Day Ultimate Lake Nasser Experience,4-day-ultimate-lake-nasser-experience,experiencia-definitiva-de-4-dias-en-el-lago-nasser,,,,wp-page-130067,
,UNIQUE,KEEP+TRANSLATE,5 Days – Cairo Luxor Romance Edition,5-days-cairo-luxor-romance-edition,,,,,wp-page-238357,
,UNIQUE,KEEP+TRANSLATE,"7 Days in Egypt: Pyramids, Temples, and Timeless Wonders",7-days-in-egypt-pyramids-temples-and-timeless-wonders,7-dias-en-egipto-piramides-templos-y-maravillas-eternas,,,,wp-page-136566,
,UNIQUE,KEEP+TRANSLATE,8-Day Customized Aswan Travel Deal from India,8-day-customized-aswan-travel-deal,oferta-personalizada-de-8-dias-en-asuan-desde-la-india,,,,wp-page-160107,
,UNIQUE,KEEP+TRANSLATE,9 Days – Cairo · St. Catherine · Sharm El Sheikh,9-days-cairo-st-catherine-sharm-el-sheikh,,,,,wp-page-238471,
,UNIQUE,KEEP+TRANSLATE,9 Days – Red Sea & Desert Escape,9-days-red-sea-desert-escape,,,,,wp-page-238377,
,UNIQUE,KEEP+TRANSLATE,Aerial Odyssey: Luxor 2-Day Tour by Plane from Cairo,luxor-2-day-tour-by-plane-from-cairo,odisea-aerea-luxor-2-dias-en-avion-desde-el-cairo,,,,wp-page-86790,
,UNIQUE,KEEP+TRANSLATE,An Unforgettable Bahariya and Siwa Oasis Vacation from India,bahariya-and-siwa-oasis-vacation,unas-vacaciones-inolvidables-en-los-oasis-de-bahariya-y-siwa-desde-india,,,,wp-page-160129,
,UNIQUE,KEEP+TRANSLATE,Aswan to El Kab and Edfu Temple Tour,aswan-to-el-kab-and-edfu-temple-tour,excursion-de-asuan-a-el-kab-y-al-templo-de-edfu,,,,wp-page-113193,
,UNIQUE,KEEP+TRANSLATE,Cairo and Alexandria 4-Days Family Package,cairo-and-alexandria-4-days-family-package,paquete-familiar-de-4-dias-en-el-cairo-y-alejandria,,,,wp-page-237730,
,UNIQUE,KEEP+TRANSLATE,Cairo and Nile Cruise 8-Day Family Package,cairo-and-nile-cruise-8-day-family-package,paquete-familiar-de-8-dias-por-el-cairo-y-crucero-por-el-nilo,,,,wp-page-237732,
,UNIQUE,KEEP+TRANSLATE,Cairo in 3 Days — Insider Edition (Solo Traveller),cairo-in-3-days-insider-edition-solo-traveller,,,,,wp-page-238546,
,UNIQUE,KEEP+TRANSLATE,Cairo to Alexandria: 2-Day Pyramids & Mediterranean Tour,2-day-pyramids-mediterranean-tour,de-el-cairo-a-alejandria-excursion-de-2-dias-a-las-piramides-y-el-mediterraneo,,,,wp-page-145910,
,UNIQUE,KEEP+TRANSLATE,Capital Splendors: Group Day Trip to Cairo from Safaga,group-day-trip-to-cairo-from-safaga,capital-splendors-tour-de-un-dia-en-grupo-a-el-cairo-desde-safaga-plan-del-tour,,,,wp-page-145857,
,UNIQUE,KEEP+TRANSLATE,Desert & Oasis — Siwa Retreat (Solo Traveller),desert-oasis-siwa-retreat-solo-traveller,,,,,wp-page-238599,
,UNIQUE,KEEP+TRANSLATE,Desert Oasis: 2-Day Bahariya Oasis Private Tour From Cairo,private-tour-2-day-trip-to-bahariya-oasis,oasis-del-desierto-excursion-privada-2-dias-bahariya-desde-cairo,,,,wp-page-87834,
,UNIQUE,KEEP+TRANSLATE,Dolphins Dance Group: Shared Seas Full Day Snorkeling Tour,shared-seas-full-day-snorkeling-tour,grupo-de-danza-de-los-delfines-excursion-de-snorkel-de-un-dia-en-mares-compartidos,,,,wp-page-115168,
,UNIQUE,KEEP+TRANSLATE,Egypt Escape: 4-Day Cairo Travel Package from Australia,egypt-escape-4-day-cairo-travel-package-from-australia,escapada-a-egipto-paquete-de-viaje-a-el-cairo-de-4-dias-desde-australia,,,,wp-page-160197,
,UNIQUE,KEEP+TRANSLATE,Egypt Escape: 4-Day Cairo Travel Package from India,4-day-cairo-travel-package,escape-a-egipto-paquete-de-viaje-de-4-dias-a-el-cairo-desde-india,,,,wp-page-160059,
,UNIQUE,KEEP+TRANSLATE,Exclusive Chartered Experience: Private Boat Journey to Orange Bay,exclusive-chartered-experience-private-boat-journey-to-orange-bay,experiencia-exclusiva-fletada-viaje-en-barco-privado-a-orange-bay,,,,wp-page-121071,
,UNIQUE,KEEP+TRANSLATE,Fayoum Desert Adventure,fayoum-desert-adventure,aventura-en-el-desierto-de-fayoum-una-odisea-de-2-dias,,,,wp-page-156014,
,UNIQUE,KEEP+TRANSLATE,Group Day Tour to Cairo from Al Gouna,group-day-tour-to-cairo-from-al-gouna,tour-de-un-dia-en-grupo-a-el-cairo-desde-al-gouna,,,,wp-page-145867,
,UNIQUE,KEEP+TRANSLATE,Love on the Nile: 10-Day Romantic Egypt Travel Deals from India,10-day-romantic-egypt-travel-deals,amor-en-el-nilo-ofertas-de-viaje-romantico-por-egipto-de-10-dias-desde-india,,,,wp-page-160116,
,UNIQUE,KEEP+TRANSLATE,Mount Sinai Pilgrimage: 2-Day Trip to Saint Catherine from Cairo,private-tour-2-days-1-night-trip-to-saint-catherine-from-cairo,peregrinacion-al-monte-sinai-viaje-de-2-dias-a-santa-catalina-desde-el-cairo,,,,wp-page-87832,
,UNIQUE,KEEP+TRANSLATE,Nile in 5 Days — Luxor & Aswan (Solo Traveller),nile-in-5-days-luxor-aswan-solo-traveller,nilo-en-5-dias-luxor-y-asuan-viajero-solo,,,,wp-page-238562,
,UNIQUE,KEEP+TRANSLATE,Nile Love Journey — Luxor Aswan,nile-love-journey-luxor-aswan,,,,,wp-page-238371,
,UNIQUE,KEEP+TRANSLATE,Nubian Life: Private Nubian Village and Nile Tour with Motor Boat,private-tour-nubian-village-with-motor-boat,vida-nubia-aldea-y-nilo-barco-motor,,,,wp-page-88602,
,UNIQUE,KEEP+TRANSLATE,Ramasside Tours: Desert Adventure & Snorkeling Experience,ramasside-tours,tours-ramasside-aventura-en-el-desierto-y-experiencia-de-snorkel,,,,wp-page-146018,
,UNIQUE,KEEP+TRANSLATE,Skyward Solitude: Private Luxor Sunrise Hot Air Balloon Experience,skyward-solitude-private-luxor-sunrise-hot-air-balloon-experience,soledad-en-el-cielo-experiencia-privada-en-globo-aerostatico-al-amanecer-en-luxor,,,,wp-page-133463,
,UNIQUE,KEEP+TRANSLATE,Sunrise Hot-Air Balloon Ride over Luxor s Ancient Landmarks,sunrise-hot-air-balloon-ride-over-luxors-ancient-landmarks,paseo-en-globo-al-amanecer-sobre-los-antiguos-monumentos-de-luxor,,,,wp-page-133412,
,UNIQUE,KEEP+TRANSLATE,Timeless Wonders: 10-Days Eternal Egypt Tour,10-days-eternal-egypt-tour,maravillas-eternas-excursion-de-10-dias-al-egipto-eterno,,,,wp-page-89602,
