sanity_id,slug,title,current_category,current_root,proposed_category,reason,es_id,ja_id,phase1_flag,has_open_draft
wp-post-151997-en,bahariya-oasis-and-the-black-desert,Bahariya Oasis and the Black Desert,Adventure (adventure),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Western Desert oasis,wp-post-155491-es,wp-post-172257-ja,,
wp-post-135204-en,best-ecolodges-in-fayoum,Ecolodges in Fayoum,Hotels (hotels),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Fayoum oasis stays,wp-post-144453-es,wp-post-172477-ja,,
wp-post-112120-en,best-family-resorts-in-egypt,Family Resorts in Egypt,Tours (tours),Destination (destination),Red Sea & Diving (red-sea-and-diving),"family resorts, mostly Red Sea (Task 11 target)",wp-post-144350-es,wp-post-167140-ja,,yes
wp-post-1465-en,best-places-to-visit-in-egypt,The Places Worth Visiting in Egypt,Places in Egypt (places-in-egypt),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144331-es,wp-post-249409-ja,retired-phase1 (Task 14),
wp-post-112770-en,best-time-to-cruise-the-nile,The Best Time to Cruise the Nile,Nile Cruise (nile-cruise),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144355-es,wp-post-167055-ja,retired-phase1 (Task 5),
wp-post-132475-en,best-time-to-visit-egypt,The Best Time to Visit Egypt,Nile Cruise (nile-cruise),Destination (destination),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144401-es,wp-post-170579-ja,,yes
wp-post-113047-en,boutique-hotels-in-egypt,Boutique Hotels in Egypt,Nile Cruise (nile-cruise),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144344-es,wp-post-166891-ja,moves-to-sillage (Task 12),
wp-post-231969-en,boutique-nile-cruises-in-egypt,Boutique Nile Cruises in Egypt,Luxury Stay (luxury-stay),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-248739-es,wp-post-238922-ja,moves-to-sillage (Task 12),
wp-post-152394-en,budget-hotels-near-the-pyramids,Budget Hotels Near the Pyramids of Giza,Hotels (hotels),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-153543-es,wp-post-167171-ja,moves-to-affordegypt (Task 18),
wp-post-153381-en,cairo-and-alexandria-city-break,Cairo and Alexandria in Five Days,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-154937-es,wp-post-170190-ja,,
wp-post-153035-en,cairo-largest-market-ataba,The Ataba Market in Cairo,Culture (culture),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo market,wp-post-154201-es,wp-post-167185-ja,,
wp-post-257597-en,cairo-weekend-escape-3-days-to-remember,Three Days in Cairo,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),Cairo itinerary,wp-post-154945-es,wp-post-257599-ja,,
wp-post-152485-en,cave-church-cairo,The Cave Church of Cairo,Coptic Monuments (coptic-monuments),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo (Mokattam),wp-post-154951-es,wp-post-170195-ja,,
wp-post-65709-en,cinematic-guide-to-egypts-film-sites,Egypt on Film,History (history),Destination (destination),Sites & Monuments (sites-and-monuments),sites used by films,wp-post-144337-es,wp-post-162836-ja,,
wp-post-130394-en,cultural-travel-guides-in-egypt,Experiencing Egyptian Culture,History (history),Destination (destination),Culture & Food (culture-and-food),culture,wp-post-144409-es,wp-post-178082-ja,,
wp-post-111586-en,dahabiya-nile-cruises-wind-powered-journey,Dahabiya Nile Cruises,Tours (tours),Destination (destination),The Nile (the-nile),dahabiya,wp-post-144399-es,wp-post-165655-ja,,
wp-post-134707-en,discover-egypt-charm-in-february,Egypt in February,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144439-es,wp-post-249560-ja,,
wp-post-136863-en,discover-egypt-in-9-days,Nine Days in Egypt,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-144119-es,wp-post-172445-ja,,
wp-post-137052-en,discover-siwa-oasis,Siwa Oasis,Tips & Tricks (tips-tricks),Planning (planning),(n/a: leaves the blog),redirected in Phase 1,wp-post-144118-es,wp-post-172464-ja,retired-phase1 (Task 3),
wp-post-131052-en,discover-the-hidden-treasures,Day Trips from Hurghada,Things to Do (things-to-do),Destination (destination),Red Sea & Diving (red-sea-and-diving),day trips from Hurghada,wp-post-144418-es,wp-post-249645-ja,,
wp-post-1429-en,discovering-the-best-hotels-in-cairo,Where to Stay in Cairo,Luxury Stay (luxury-stay),Destination (destination),Cairo & the Cities (cairo-and-the-cities),where to stay in Cairo,wp-post-144320-es,wp-post-161823-ja,,
wp-post-205979-en,diving-in-the-red-sea,Wreck Diving in the Red Sea,Adventure (adventure),Destination (destination),Red Sea & Diving (red-sea-and-diving),diving,wp-post-257593-es,wp-post-249259-ja,,
wp-post-1496-en,eco-lodges-in-egypt,Ecolodges in Egypt,Luxury Stay (luxury-stay),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",ecolodges are desert/oasis stays,wp-post-144316-es,wp-post-161841-ja,,
wp-post-144124-en,egypt-group-holidays-for-couples,Egypt for Two,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),who's travelling,wp-post-144704-es,wp-post-172276-ja,,
wp-post-143368-en,egypt-group-holidays-for-seniors,Egypt for Senior Travellers,Lifestyle (lifestyle),Destination (destination),Planning & Itineraries (planning-and-itineraries),who's travelling,wp-post-144705-es,wp-post-172442-ja,,
wp-post-144121-en,egypt-group-holidays-for-students,Egypt for Student Groups,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),who's travelling,wp-post-144436-es,wp-post-249302-ja,,
wp-post-1463-en,egypt-holiday-deals,Egypt Holiday Packages,Places in Egypt (places-in-egypt),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144317-es,wp-post-161806-ja,retired-phase1 (Task 14),
wp-post-155033-en,egypt-holidays-from-canada,Egypt from Canada,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),planning from a home country,wp-post-158007-es,wp-post-172228-ja,,
wp-post-155233-en,egypt-holidays-from-japan,Egypt from Japan,Adventure (adventure),Destination (destination),Planning & Itineraries (planning-and-itineraries),planning from a home country,wp-post-155571-es,wp-post-167151-ja,,
wp-post-155212-en,egypt-holidays-from-south-africa,Egypt from South Africa,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),planning from a home country,wp-post-158011-es,wp-post-167148-ja,,
wp-post-155175-en,egypt-holidays-from-uk,Egypt from the UK,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),planning from a home country,wp-post-155576-es,wp-post-172212-ja,,
wp-post-134658-en,egypt-in-may,Egypt in May,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144432-es,wp-post-178180-ja,,
wp-post-127829-en,egypt-luxury-beach-resorts,Egypt's Luxury Beach Resorts,Luxury Stay (luxury-stay),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144415-es,wp-post-178066-ja,moves-to-sillage (Task 12),
wp-post-112730-en,egypt-luxury-travel,Luxury Travel in Egypt,Luxury Stay (luxury-stay),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144353-es,wp-post-167058-ja,moves-to-sillage (Task 12),
wp-post-153058-en,egypt-package-deals,How to Choose an Egypt Travel Package,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),packages (Task 15 target),wp-post-154308-es,wp-post-167192-ja,,yes
wp-post-205575-en,egypt-scams-bargaining-tips,Bargaining and Avoiding Trouble in Egypt,Tours (tours),Destination (destination),Practical Egypt (practical-egypt),bargaining and scams,wp-post-249355-es,wp-post-249285-ja,,
wp-post-206205-en,egypt-transportation-tips,Getting Around Egypt,Tips & Tricks (tips-tricks),Planning (planning),Practical Egypt (practical-egypt),getting around,wp-post-236796-es,wp-post-249251-ja,,
wp-post-73355-en,egypt-weather-guide,Egypt Weather Guide,Destination Depth (destination-depth),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-143842-es,wp-post-162707-ja,retired-phase1 (Task 17),
wp-post-154927-en,egypt-winter-holidays,Egypt in Winter,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-155581-es,wp-post-172231-ja,,
wp-post-115456-en,egyptian-gods,Reading the Egyptian Gods on the Trip,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),religion of ancient Egypt,wp-post-144406-es,wp-post-178177-ja,,
wp-post-1590-en,egyptian-mummies,Should Egyptian Mummies Be Repatriated?,History (history),Destination (destination),History & Egyptology (history-and-egyptology),Egyptology debate,wp-post-144314-es,wp-post-161845-ja,,
wp-post-87870-en,egyptian-museum-citadel-and-khan-el-khalili-bazaar,"Cairo s Treasures: Egyptian Museum, Citadel & Bazaar Day Tour",Destination Depth (destination-depth),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo day (legacy tour page imported as a post),wp-post-144544-es,wp-post-172608-ja,,
wp-post-153419-en,egyptian-shawarma,Egyptian Shawarma,Food (food),Destination (destination),Culture & Food (culture-and-food),food,wp-post-155073-es,wp-post-167197-ja,,
wp-post-1405-en,egyptian-textiles-museum,Seeing Egyptian Textiles in Cairo,Places in Egypt (places-in-egypt),Destination (destination),Cairo & the Cities (cairo-and-the-cities),"al-Muizz, Cairo",wp-post-144333-es,wp-post-162343-ja,,
wp-post-134778-en,enchanting-lakes-of-egypt,Reading Egypt's Lakes,Places in Egypt (places-in-egypt),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Fayoum/Western lakes and landscape,wp-post-144442-es,wp-post-178192-ja,,
wp-post-187520-en,exclusive-access-to-the-giza-pyramid,The Giza Plateau Before the Crowd,Creative (creative),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-249320-es,wp-post-249247-ja,moves-to-sillage (Task 12),
wp-post-136621-en,experience-egypt-in-7-days,Seven Days in Egypt,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-144448-es,wp-post-249659-ja,,
wp-post-1427-en,experiencing-egypt-aboard-the-oberoi-zahra,Travelling the Nile on the Oberoi Zahra,Luxury Stay (luxury-stay),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144336-es,wp-post-162352-ja,moves-to-sillage (Task 12),
wp-post-136767-en,explore-egypt-in-10-days,Ten Days in Egypt,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-144444-es,wp-post-249309-ja,,
wp-post-134618-en,explore-egypt-in-november,Travelling Egypt in November,Culture (culture),Destination (destination),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144427-es,wp-post-210304-ja,,
wp-post-103379-en,exploring-coptic-cairo,Walking Coptic Cairo,Places in Egypt (places-in-egypt),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Coptic Cairo,wp-post-245155-es,wp-post-164358-ja,,
wp-post-134775-en,exploring-egypt-in-september,Travelling Egypt in September,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144454-es,wp-post-178077-ja,,
wp-post-112118-en,family-adventures-in-egypt,Egypt with Children,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),family trip planning,wp-post-144400-es,wp-post-165658-ja,,
wp-post-115491-en,family-beach-holidays-in-egypt,Family Beach Holidays in Egypt,Tours (tours),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144404-es,wp-post-170179-ja,retired-phase1 (Task 11),
wp-post-1470-en,faux-pas-to-avoid-in-egypt,Avoiding Faux Pas in Egypt,Culture (culture),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144334-es,wp-post-162348-ja,retired-phase1 (Task 17),
wp-post-192722-en,felucca-rides-in-egypt,Riding a Felucca in Egypt,Tours (tours),Destination (destination),The Nile (the-nile),felucca,wp-post-249385-es,wp-post-249300-ja,,
wp-post-121356-en,gourmet-dining-in-egypt,Eating Well in Egypt,Luxury Stay (luxury-stay),Destination (destination),Culture & Food (culture-and-food),food (was under Luxury Stay),wp-post-144410-es,wp-post-178056-ja,,
wp-post-144145-en,group-tours-vs-private-tours,Group Tours vs Private Tours in Egypt,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),trip format,wp-post-144435-es,wp-post-170187-ja,,
wp-post-131449-en,guardian-of-time-exploring-the-great-sphinx-of-giza,The Great Sphinx of Giza,History (history),Destination (destination),Sites & Monuments (sites-and-monuments),Giza,wp-post-144419-es,wp-post-170585-ja,,
wp-post-230513-en,hidden-gems-of-egypt,Egypt Beyond the Pyramids,Adventure (adventure),Destination (destination),Sites & Monuments (sites-and-monuments),lesser-known sites,wp-post-248779-es,wp-post-249269-ja,,
wp-post-129995-en,historical-egypt-travel,How to Travel Historical Egypt,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),history as a trip lens,wp-post-144407-es,wp-post-178080-ja,,
wp-post-129984-en,historical-egypt-trips-for-families,Travelling Historical Egypt with Children,Hotels (hotels),Destination (destination),Planning & Itineraries (planning-and-itineraries),family trip planning,wp-post-144405-es,wp-post-178071-ja,,
wp-post-144683-en,historical-hotels-in-egypt,Historical Hotels in Egypt,Hotels (hotels),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144703-es,wp-post-172259-ja,moves-to-sillage (Task 12),
wp-post-112663-en,historical-sites-visited-by-a-nile-cruise,Historical Sites a Nile Cruise Visits,Tours (tours),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144356-es,wp-post-167131-ja,retired-phase1 (Task 10),
wp-post-1481-en,hollywood-vs-history-egypt-in-the-movies,"Egypt in the Movies, Egypt for Real",History (history),Destination (destination),History & Egyptology (history-and-egyptology),myth vs history,wp-post-144330-es,wp-post-162462-ja,,
wp-post-133066-en,hot-air-balloons-ride-in-luxor-egypt,Hot-Air Balloons in Luxor,Adventure (adventure),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Luxor experience,wp-post-144438-es,wp-post-170254-ja,,
wp-post-152426-en,how-to-avoid-scams-at-giza-pyramids,Visiting the Giza Pyramids Without Getting Worn Down,Tours (tours),Destination (destination),Practical Egypt (practical-egypt),touts and scams (Task 8),wp-post-155592-es,wp-post-172237-ja,,yes
wp-post-152484-en,how-to-choose-a-sim-card-for-your-trip-to-egypt,SIM Cards for Your Egypt Trip,Tips & Tricks (tips-tricks),Planning (planning),(n/a: leaves the blog),redirected in Phase 1,wp-post-154956-es,wp-post-170205-ja,retired-phase1 (Task 7),
wp-post-157835-en,how-to-choose-the-right-egyptian-airport-for-your-private-flight,Choosing the Right Egyptian Airport for a Private Flight,Tips & Tricks (tips-tricks),Planning (planning),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-249403-es,wp-post-167154-ja,moves-to-sillage (Task 12),
wp-post-205417-en,how-to-dress-when-visiting-egypt,What to Wear in Egypt,Tours (tours),Destination (destination),Practical Egypt (practical-egypt),what to wear,wp-post-249360-es,wp-post-249289-ja,,
wp-post-233566-en,inside-the-great-pyramid-of-giza,What You Actually See Inside the Great Pyramid,Pharaoh Monuments (pharaoh-monuments),Destination (destination),Sites & Monuments (sites-and-monuments),Giza,wp-post-236088-es,wp-post-238653-ja,,
wp-post-136702-en,is-egypt-safe,Is Egypt Safe?,Culture (culture),Destination (destination),Practical Egypt (practical-egypt),safety (Task 2 target; was under Culture),wp-post-158013-es,wp-post-172216-ja,,yes
wp-post-204685-en,islamic-architectural-heritage-in-egypt,How to Read Islamic Architecture in Egypt,Islamic Monuments (islamic-monuments),Destination (destination),Sites & Monuments (sites-and-monuments),reading monuments nationwide,wp-post-249372-es,wp-post-249297-ja,,
wp-post-151996-en,islamic-cairo-and-its-religious-significance,The Religious Meaning of Islamic Cairo,Islamic Monuments (islamic-monuments),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Islamic Cairo,wp-post-155400-es,wp-post-172246-ja,,
wp-post-134692-en,june-journeys-exploring-egypt-in-early-summer,How to Travel Egypt in June,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144434-es,wp-post-178097-ja,,
wp-post-145378-en,lake-nasser-cruise,What a Lake Nasser Cruise Actually Is,Nile Cruise (nile-cruise),Destination (destination),The Nile (the-nile),Lake Nasser cruise,wp-post-155359-es,wp-post-170181-ja,,
wp-post-144896-en,lake-nasser-cruises,How to Choose a Lake Nasser Cruise,Adventure (adventure),Destination (destination),The Nile (the-nile),Lake Nasser cruise,wp-post-155635-es,wp-post-170183-ja,,
wp-post-153089-en,local-hospitals-in-egypt,When You Need a Hospital in Egypt,Safety (safety),Planning (planning),(n/a: leaves the blog),redirected in Phase 1,wp-post-154663-es,wp-post-167203-ja,retired-phase1 (Task 17),
wp-post-113080-en,luxury-nile-cruise,How to Choose a Luxury Nile Cruise,Nile Cruise (nile-cruise),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144346-es,wp-post-166896-ja,moves-to-sillage (Task 12),
wp-post-112604-en,luxury-resorts-in-egypt,How to Choose a Luxury Resort in Egypt,Luxury Stay (luxury-stay),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144354-es,wp-post-167134-ja,moves-to-sillage (Task 12),
wp-post-213165-en,meet-the-pyramid-builders,Meet the Pyramid Builders,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),Egyptology,wp-post-249205-es,wp-post-249227-ja,,
wp-post-116015-en,middle-kingdom-pharaohs,The Middle Kingdom Pharaohs,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),pharaohs,wp-post-144345-es,wp-post-170093-ja,,
wp-post-134167-en,must-see-tombs-in-the-valley-of-the-kings,Tombs Worth Seeing in the Valley of the Kings,Pharaoh Monuments (pharaoh-monuments),Destination (destination),Sites & Monuments (sites-and-monuments),Valley of the Kings,wp-post-144430-es,wp-post-249591-ja,,yes
wp-post-131375-en,must-visit-islamic-places-in-cairo,Places to Visit in Islamic Cairo,Islamic Monuments (islamic-monuments),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Islamic Cairo,wp-post-144416-es,wp-post-178108-ja,,
wp-post-110008-en,must-visit-museums-in-egypt,Museums Worth Visiting in Egypt,Tours (tours),Destination (destination),Sites & Monuments (sites-and-monuments),museums,wp-post-144398-es,wp-post-165652-ja,,
wp-post-130539-en,myths-and-facts-about,Myths and Facts About Ancient Egypt,History (history),Destination (destination),History & Egyptology (history-and-egyptology),ancient Egypt myths,wp-post-144411-es,wp-post-249604-ja,,
wp-post-239081-en,national-museum-of-egyptian,"The National Museum of Egyptian Civilization (NMEC), Cairo",Tours (tours),Destination (destination),Sites & Monuments (sites-and-monuments),museum,wp-post-240565-es,wp-post-240706-ja,,
wp-post-202843-en,nubian-lodges-in-aswan-abu-simbel,Nubian Lodges in Aswan and Abu Simbel,Tours (tours),Destination (destination),The Nile (the-nile),Aswan and Nubia stays,wp-post-249378-es,wp-post-204720-ja,,
wp-post-134723-en,october-escapes-discovering-egypt-in-autumn,Travelling Egypt in October,Places in Egypt (places-in-egypt),Destination (destination),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144422-es,wp-post-178111-ja,,
wp-post-115478-en,old-kingdom-pharaohs,The Old Kingdom Pharaohs,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),pharaohs,wp-post-144408-es,wp-post-178053-ja,,
wp-post-114388-en,pack-for-a-dahabiya-nile-cruise-journey,Packing for a Dahabiya Nile Cruise,History (history),Destination (destination),The Nile (the-nile),dahabiya trip (was under History),wp-post-144347-es,wp-post-166911-ja,,
wp-post-230423-en,personalize-your-egypt-adventure,Building an Egypt Trip That Fits You,Things to Do (things-to-do),Destination (destination),Planning & Itineraries (planning-and-itineraries),building a trip,wp-post-248748-es,wp-post-238936-ja,,
wp-post-102748-en,places-in-egypt,Historical Places to Visit in Egypt,Hotels (hotels),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144341-es,wp-post-164405-ja,retired-phase1 (Task 14),
wp-post-98344-en,places-to-visit-in-aswan,Places to Visit in Aswan,Hotels (hotels),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144339-es,wp-post-164328-ja,retired-phase1 (Task 16),
wp-post-134564-en,places-to-visit-in-cairo-at-night,Places to Go in Cairo at Night,Places in Egypt (places-in-egypt),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo,wp-post-144424-es,wp-post-210373-ja,,
wp-post-236678-en,police-escorts-in-egypt,Tourist-Police Escorts and Convoys in Egypt,Tips & Tricks (tips-tricks),Planning (planning),Practical Egypt (practical-egypt),security logistics,wp-post-248734-es,wp-post-238634-ja,,
wp-post-226055-en,remal-el-rayan-glamp,Remal El Rayan Glamp,Adventure (adventure),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Fayoum desert camp (upscale; see Task 12 note),wp-post-248796-es,wp-post-249277-ja,,
wp-post-153217-en,restaurants-in-zamalek,Eating in Zamalek,Lifestyle (lifestyle),Destination (destination),Culture & Food (culture-and-food),eating out,wp-post-154894-es,wp-post-167212-ja,,
wp-post-109929-en,sacred-places-in-egypt-temples-mosques-and-religious-sites-to-explore,Sacred Places in Egypt,Tours (tours),Destination (destination),Sites & Monuments (sites-and-monuments),sacred sites nationwide,wp-post-144342-es,wp-post-249502-ja,,
wp-post-205894-en,safety-guide-for-travelers-to-egypt,Safety Guide for Egypt Travellers,Safety (safety),Planning (planning),(n/a: leaves the blog),redirected in Phase 1,wp-post-249325-es,wp-post-249237-ja,retired-phase1 (Task 2),
wp-post-1592-en,safety-tips-while-diving-in-the-red-sea,Diving Safely in the Red Sea,Places in Egypt (places-in-egypt),Destination (destination),Red Sea & Diving (red-sea-and-diving),diving,wp-post-144322-es,wp-post-161838-ja,,
wp-post-153298-en,short-cairo-getaway-discover-the-magic-in-4-days,Cairo in Four Days,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),Cairo itinerary,wp-post-154941-es,wp-post-167219-ja,,
wp-post-112700-en,sinai-adventure,Before Travelling the Sinai Peninsula,Tours (tours),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144351-es,wp-post-167061-ja,retired-phase1 (Task 13),
wp-post-115066-en,sinai-desert-safaris,"Walking, Driving, Crossing the Sinai Desert",Adventure (adventure),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Sinai,wp-post-144348-es,wp-post-167046-ja,,yes
wp-post-115504-en,sinai-historical-sites,Sinai Historical Sites,Tours (tours),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Sinai,wp-post-144343-es,wp-post-249534-ja,,
wp-post-112933-en,siwa-oasis-a-timeless-epic-adventure,The History and Landscape of Siwa Oasis,Adventure (adventure),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144357-es,wp-post-167049-ja,retired-phase1 (Task 3),
wp-post-205954-en,siwa-oasis-culture-and-adventure,Siwa Oasis Culture and Adventure,Adventure (adventure),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-249336-es,wp-post-249281-ja,retired-phase1 (Task 3),
wp-post-153508-en,siwa-salt-lakes,Siwa's Salt Lakes,Wellness (wellness),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Siwa,wp-post-155586-es,wp-post-167162-ja,,yes
