citySlug,field,en,es,ja
ismailia,caption,"The gentlest of the canal cities — tempered by water and trees, and at its best in the long mild stretch either side of winter.","La más suave de las ciudades del canal — templada por el agua y los árboles, y en su mejor momento durante el largo tramo templado que rodea el invierno.",運河沿いの街の中でもっとも穏やかな場所 — 水と木々に和らげられ、冬を挟む長く温暖な期間に最も心地よくなる。
ismailia,seasonLabel,THE SEASON — OCTOBER TO MAY,LA TEMPORADA — DE OCTUBRE A MAYO,ベストシーズン — 10月〜5月
rosetta-rasheed,descriptors,Delta air · Winter rain · Sea-softened summers,Aire del Delta · Lluvia invernal · Veranos suavizados por el mar,デルタの空気 · 冬の雨 · 海が和らげる夏
rosetta-rasheed,gapText,8° — the Delta holds the night,8° — el Delta retiene la noche,8℃ — デルタが夜の気温を保つ
rosetta-rasheed,troughText,9° — a wet January,9° — un enero lluvioso,9℃ — 雨がちな1月
rosetta-rasheed,caption,"Where the Nile meets the sea the climate turns Mediterranean: real winter rain, soft summers, and light that photographers cross the Delta for.","Donde el Nilo se encuentra con el mar, el clima se vuelve mediterráneo: lluvia invernal de verdad, veranos suaves y una luz por la que los fotógrafos cruzan el Delta.",ナイル川が海と出会う場所では、気候は地中海性に変わる。本格的な冬の雨、穏やかな夏、そして写真家たちがデルタを越えてまで求める光がある。
rosetta-rasheed,seasonLabel,THE SEASON — APRIL TO NOVEMBER,LA TEMPORADA — DE ABRIL A NOVIEMBRE,ベストシーズン — 4月〜11月
wadi-el-natrun,descriptors,Desert quiet · Bright and dry · Cool monastery mornings,Silencio desértico · Luminoso y seco · Mañanas frescas de monasterio,砂漠の静けさ · 明るく乾燥 · 修道院の涼しい朝
wadi-el-natrun,gapText,13° between noon and midnight,13° entre el mediodía y la medianoche,正午から真夜中まで13℃差
wadi-el-natrun,troughText,7° — January nights,7° — noches de enero,7℃ — 1月の夜
wadi-el-natrun,caption,"Monastery weather: dry, bright and still — winter mornings here are cold enough to explain the wool habits, and summer visits belong before noon.","Clima de monasterio: seco, luminoso e inmóvil — las mañanas de invierno aquí son lo bastante frías como para explicar los hábitos de lana, y las visitas de verano deben hacerse antes del mediodía.",修道院にふさわしい気候——乾いて明るく、静か。ここの冬の朝は、修道士たちがウールの修道服をまとう理由がわかるほど冷え込み、夏の訪問は正午前が鉄則だ。
wadi-el-natrun,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
alexandria,descriptors,Sea air · A real winter · Winter rain · Cairo's summer refuge,Aire marino · Un invierno de verdad · Lluvia invernal · El refugio veraniego de El Cairo,海風 · 本物の冬 · 冬の雨 · カイロの夏の避暑地
alexandria,gapText,only 8° — the sea holds the night,solo 8° — el mar retiene la noche,わずか8℃ — 海が夜の気温を保つ
alexandria,troughText,9° — a real winter,9° — un invierno de verdad,9℃ — 本物の冬
alexandria,caption,"The one Egyptian city with a real winter — grey, wet, Mediterranean — and the coast Cairo escapes to when summer arrives. Its season is the inverse of the valley's.","La única ciudad egipcia con un invierno de verdad — gris, húmedo, mediterráneo — y la costa a la que El Cairo escapa cuando llega el verano. Su temporada es la inversa de la del valle.",本物の冬を持つエジプトで唯一の街——曇りがちで雨が多く、地中海性の気候。夏が訪れるとカイロの人々が逃げ込む海岸でもある。ここのベストシーズンは、ナイル渓谷とはちょうど逆になる。
alexandria,seasonLabel,THE SEASON — MAY TO OCTOBER,LA TEMPORADA — DE MAYO A OCTUBRE,ベストシーズン — 5月〜10月
marsa-matruh,descriptors,Turquoise water · Egypt's summer coast · Stormy winters,Aguas turquesa · La costa veraniega de Egipto · Inviernos tormentosos,ターコイズブルーの海 · エジプトの夏の海岸 · 荒れる冬
marsa-matruh,gapText,7° — sea-tempered,7° — templado por el mar,7℃ — 海が和らげる
marsa-matruh,troughText,8° — a closed-season January,8° — un enero de temporada baja,8℃ — 閉季の1月
marsa-matruh,caption,"Matruh runs on one season: the summer months when its lagoons do their Aegean impression — winter is windy, wet and largely shuttered, and we say so.","Matruh vive de una sola temporada: los meses de verano, cuando sus lagunas simulan el Egeo — el invierno es ventoso, húmedo y mayormente cerrado, y lo decimos sin rodeos.",マトルーは一つの季節だけで成り立つ街——ラグーンがエーゲ海さながらの表情を見せる夏の数か月だ。冬は風が強く雨がちで、ほとんどの施設が閉まる——それを正直に伝えておく。
marsa-matruh,seasonLabel,THE SEASON — JUNE TO SEPTEMBER,LA TEMPORADA — DE JUNIO A SEPTIEMBRE,ベストシーズン — 6月〜9月
port-said,descriptors,"Canal and sea · Humid summers · Mild, showery winters",Canal y mar · Veranos húmedos · Inviernos suaves y lluviosos,運河と海 · 湿度の高い夏 · 穏やかでにわか雨の多い冬
port-said,gapText,7° between day and night,7° entre el día y la noche,昼と夜で7℃差
port-said,troughText,10° — January nights,10° — noches de enero,10℃ — 1月の夜
port-said,caption,"A working harbour more than a resort: mild most of the year, humid in high summer, and best when the light is long — spring and autumn.","Más puerto activo que centro turístico: templado la mayor parte del año, húmedo en pleno verano, y en su mejor momento cuando la luz se alarga — primavera y otoño.",リゾートというより現役の港町——一年の大半は穏やかで、真夏は湿度が高く、日が長く伸びる春と秋に最も心地よい。
port-said,seasonLabel,THE SEASON — SPRING AND AUTUMN,LA TEMPORADA — PRIMAVERA Y OTOÑO,ベストシーズン — 春と秋
al-gouna,descriptors,Year-round sun · Lagoon breezes · A warm sea,Sol todo el año · Brisas de laguna · Un mar cálido,一年中降り注ぐ太陽 · ラグーンのそよ風 · 温かい海
al-gouna,gapText,9° — the sea holds the night,9° — el mar retiene la noche,9℃ — 海が夜の気温を保つ
al-gouna,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
al-gouna,caption,"The lagoons barely have an off-season: winter is sunny with a breeze, summer is hot with a sea that compensates — the calendar question here is water temperature, not weather.","Las lagunas apenas tienen temporada baja: el invierno es soleado y con brisa, el verano es caluroso pero el mar lo compensa — aquí la pregunta del calendario es la temperatura del agua, no el clima.",このラグーンにオフシーズンはほとんどない——冬は晴れて風があり、夏は暑いが海がそれを補ってくれる。ここでカレンダーを左右するのは天候ではなく水温だ。
al-gouna,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
al-quseir,descriptors,Old-coast quiet · Steady sun · A warm sea,La calma de la costa antigua · Sol constante · Un mar cálido,古き海岸の静けさ · 安定した日照 · 温かい海
al-quseir,gapText,9° between day and night,9° entre el día y la noche,昼と夜で9℃差
al-quseir,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
al-quseir,caption,"The oldest port on this coast keeps the coast’s kindest habit: sun nearly every day of the year, with the sea a degree warmer than the air most winter mornings.","El puerto más antiguo de esta costa conserva su costumbre más amable: sol casi todos los días del año, con el mar un grado más cálido que el aire en la mayoría de las mañanas de invierno.",この海岸で最も古い港は、この土地らしい穏やかな習慣を守り続けている——一年のほぼ毎日が晴れ、冬の朝の多くは海水温が気温より1度ほど高い。
al-quseir,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
hurghada,descriptors,Sun nearly every day · A swimmable winter sea · Reliable wind,Sol casi todos los días · Un mar templado para nadar en invierno · Viento constante,ほぼ毎日晴れる · 冬でも泳げる海 · 安定した風
hurghada,gapText,9° — the sea holds the night,9° — el mar retiene la noche,9℃ — 海が夜の気温を保つ
hurghada,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
hurghada,caption,"Hurghada's weather is a promise more than a forecast: sun almost every day, a sea that stays swimmable through winter, and wind the kite schools plan around.","El clima de Hurghada es más una promesa que un pronóstico: sol casi todos los días, un mar que sigue siendo apto para nadar durante todo el invierno, y un viento en torno al cual se organizan las escuelas de kitesurf.",ハルガダの天気は予報というより約束のようなものだ——ほぼ毎日晴れ、冬を通して泳げる海があり、カイトスクールがスケジュールを組むほど安定した風が吹く。
hurghada,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
marsa-alam,descriptors,The far south · The warmest winter sea · Desert-backed reefs,El extremo sur · El mar más cálido en invierno · Arrecifes respaldados por el desierto,最南端の地 · 冬でも最も温かい海 · 砂漠を背にしたサンゴ礁
marsa-alam,gapText,10° between day and night,10° entre el día y la noche,昼と夜で10℃差
marsa-alam,troughText,12° — the mildest January on the coast,12° — el enero más suave de la costa,12℃ — この海岸で最も穏やかな1月
marsa-alam,caption,"The furthest south we send beach travellers, and the reason is January: the warmest winter water in Egypt, over reefs that need nothing else said for them.","El punto más al sur al que enviamos a los viajeros de playa, y la razón es enero: el agua invernal más cálida de Egipto, sobre unos arrecifes que no necesitan más presentación.",ビーチ目的の旅行者を案内する最南端の地——その理由は1月にある。エジプトで最も温かい冬の海水温を誇り、その下に広がるサンゴ礁については、もはや多くを語る必要もない。
marsa-alam,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
safaga,descriptors,A working port · Serious wind · Bright winters,Un puerto activo · Viento serio · Inviernos luminosos,現役の港 · 本格的な風 · 明るい冬
safaga,gapText,9° between day and night,9° entre el día y la noche,昼と夜で9℃差
safaga,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
safaga,caption,"Safaga is where the coast works — phosphate docks, dive boats, and a wind that windsurfers cross continents for; the weather is Hurghada’s, with fewer umbrellas on the sand.","Safaga es donde la costa trabaja de verdad — muelles de fosfatos, barcos de buceo y un viento por el que los windsurfistas cruzan continentes; el clima es el de Hurghada, pero con menos sombrillas en la arena.",サファーガはこの海岸の「仕事場」だ——リン鉱石の埠頭、ダイビングボート、そしてウィンドサーファーが大陸を越えてでも求める風がある。気候的にはハルガダと同じだが、砂浜のパラソルはずっと少ない。
safaga,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
suez,descriptors,Canal mouth · Dry and bright · Windy afternoons,Boca del canal · Seco y luminoso · Tardes ventosas,運河の入り口 · 乾燥して明るい · 風の強い午後
suez,gapText,11° between day and night,11° entre el día y la noche,昼と夜で11℃差
suez,troughText,10° — January nights,10° — noches de enero,10℃ — 1月の夜
suez,caption,"A transit city with transit weather: dry, bright and windy where the canal meets the gulf — comfortable in the shoulder months, honest about July.","Una ciudad de paso con un clima de paso: seco, luminoso y ventoso donde el canal se encuentra con el golfo — agradable en los meses intermedios, y sin disimular julio.",通過点の街には、それにふさわしい気候がある——運河が湾と出会う場所は乾燥し、明るく、風が強い。中間シーズンは快適だが、7月についてはごまかさない。
suez,seasonLabel,THE SEASON — OCTOBER TO MAY,LA TEMPORADA — DE OCTUBRE A MAYO,ベストシーズン — 10月〜5月
al-arish,descriptors,Mediterranean Sinai · Palm-lined coast · Winter rain,El Sinaí mediterráneo · Costa bordeada de palmeras · Lluvia invernal,地中海に面したシナイ · ヤシ並木の海岸 · 冬の雨
al-arish,gapText,8° — sea-tempered,8° — templado por el mar,8℃ — 海が和らげる
al-arish,troughText,9° — a showery January,9° — un enero con chubascos,9℃ — にわか雨の多い1月
al-arish,caption,"Sinai's Mediterranean face: palm groves, winter showers and a long mild summer — a different climate from the resorts two hours south, and a quieter one.","El rostro mediterráneo del Sinaí: palmerales, chubascos invernales y un largo verano templado — un clima distinto al de los complejos turísticos dos horas al sur, y más tranquilo.",シナイ半島の地中海的な一面——ヤシの林、冬のにわか雨、そして穏やかで長い夏。南へ2時間のリゾート地とはまったく異なる、より静かな気候だ。
al-arish,seasonLabel,THE SEASON — MAY TO OCTOBER,LA TEMPORADA — DE MAYO A OCTUBRE,ベストシーズン — 5月〜10月
dahab,descriptors,"Warm sea, cool wind · Mountain backdrop · A long season","Mar cálido, viento fresco · Telón de fondo de montañas · Una temporada larga",温かい海、涼しい風 · 山を背景に · 長く続くシーズン
dahab,gapText,10° between day and night,10° entre el día y la noche,昼と夜で10℃差
dahab,troughText,12° — January nights,12° — noches de enero,12℃ — 1月の夜
dahab,caption,Dahab's trick is the wind off the mountains: it takes the edge off summer and keeps the lagoon honest — the season here is most of the year.,El truco de Dahab es el viento que baja de las montañas: suaviza el verano y mantiene la laguna fiel a sí misma — aquí la temporada dura casi todo el año.,ダハブの秘密は山から吹き下ろす風にある——夏の暑さを和らげ、ラグーンの表情を保ってくれる。ここでは一年のほとんどがベストシーズンといえる。
dahab,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
nuweiba,descriptors,Gulf quiet · Warm water · Mountain dawns,La calma del golfo · Agua cálida · Amaneceres de montaña,湾の静けさ · 温かい水 · 山の夜明け
nuweiba,gapText,10° between day and night,10° entre el día y la noche,昼と夜で10℃差
nuweiba,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
nuweiba,caption,"The quiet stretch of the gulf: beach camps, mountain shadow by late afternoon, and a sea that stays warm long after the crowds thin.","El tramo tranquilo del golfo: campamentos de playa, sombra de montaña al caer la tarde, y un mar que sigue cálido mucho después de que la multitud se disperse.",湾の中でも静かな一角——ビーチキャンプ、夕方には山の影が落ち、人出が減った後も海はいつまでも温かいままだ。
nuweiba,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
ras-sudr,descriptors,"Built for wind · Flat, warm water · Weekend coast",Hecha para el viento · Agua plana y cálida · Costa de fin de semana,風のために生まれた地 · 穏やかで温かい水 · 週末の海岸
ras-sudr,gapText,9° between day and night,9° entre el día y la noche,昼と夜で9℃差
ras-sudr,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
ras-sudr,caption,"Ras Sudr sells one thing and the climate delivers it daily: wind — steady, side-shore, and strong enough that the kite season barely closes.","Ras Sudr vende una sola cosa y el clima la entrega a diario: viento — constante, de costado, y lo bastante fuerte como para que la temporada de kite apenas se cierre.",ラス・スドルが売りにするものはただ一つ、そして気候はそれを毎日届けてくれる——風だ。安定していて、サイドショアで、キトシーズンがほとんど途切れないほど強い。
ras-sudr,seasonLabel,THE SEASON — SEPTEMBER TO JUNE,LA TEMPORADA — DE SEPTIEMBRE A JUNIO,ベストシーズン — 9月〜6月
saint-catherine,descriptors,"1,600 metres up · Freezing winter nights · The occasional snowfall",A 1600 metros de altitud · Noches de invierno bajo cero · Alguna que otra nevada,"標高1,600メートル · 氷点下になる冬の夜 · 時折の降雪"
saint-catherine,gapText,15° of mountain air,15° de aire de montaña,山の空気による15℃差
saint-catherine,troughText,"−2° — January, and honestly cold","−2° — enero, y hace frío de verdad",−2℃ — 1月、正真正銘の寒さ
saint-catherine,caption,"The one Egyptian weather page with snow on it: at 1,600 metres the winter nights freeze, the summer days stay mountain-mild, and the summit sunrise wants every layer you brought.","La única página del clima egipcio con nieve: a 1600 metros, las noches de invierno se congelan, los días de verano se mantienen templados como en la montaña, y el amanecer en la cumbre exige hasta la última capa de ropa que llevaste.","雪が登場するエジプトで唯一の天気ページ——標高1,600メートルでは冬の夜は氷点下になり、夏の日中は山らしく穏やかなまま。山頂の日の出を見るなら、持ってきた重ね着すべてが必要になる。"
saint-catherine,seasonLabel,THE SEASON — SPRING AND AUTUMN,LA TEMPORADA — PRIMAVERA Y OTOÑO,ベストシーズン — 春と秋
sharm-el-sheikh,descriptors,Winter-sun capital · A warm sea · Rainless,La capital del sol invernal · Un mar cálido · Sin lluvias,冬の陽光の首都 · 温かい海 · ほとんど雨が降らない
sharm-el-sheikh,gapText,10° between day and night,10° entre el día y la noche,昼と夜で10℃差
sharm-el-sheikh,troughText,13° — the warmest January nights in Egypt,13° — las noches de enero más cálidas de Egipto,13℃ — エジプトで最も温かい1月の夜
sharm-el-sheikh,caption,"Sharm exists because of its winter: sun in the middle of a European January, a sea still fit for swimming, and rain so rare the airport treats it as news.","Sharm existe gracias a su invierno: sol en pleno enero europeo, un mar todavía apto para nadar, y una lluvia tan rara que el aeropuerto la trata como noticia.",シャルムはその冬のためにこそ存在する——ヨーロッパが真冬の1月にも太陽が降り注ぎ、海は今なお泳げるほど温かく、雨は空港がニュースとして扱うほど珍しい。
sharm-el-sheikh,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
taba,descriptors,Four-country views · Gulf calm · Bright winters,Vistas a cuatro países · La calma del golfo · Inviernos luminosos,4か国を望む景色 · 穏やかな湾 · 明るい冬
taba,gapText,10° between day and night,10° entre el día y la noche,昼と夜で10℃差
taba,troughText,11° — January nights,11° — noches de enero,11℃ — 1月の夜
taba,caption,"The gulf at its narrowest and calmest — winter days made for the water, summer afternoons made for the pool, and Jordan's mountains pink across the strait at dusk.","El golfo en su punto más estrecho y calmado — días de invierno hechos para el agua, tardes de verano hechas para la piscina, y las montañas de Jordania tiñéndose de rosa al otro lado del estrecho al anochecer.",湾がもっとも狭く、もっとも穏やかになる場所——冬の日は海にふさわしく、夏の午後はプールにふさわしい。そして夕暮れには海峡の向こうにヨルダンの山々がピンク色に染まる。
taba,seasonLabel,THE SEASON — SEPTEMBER TO MAY,LA TEMPORADA — DE SEPTIEMBRE A MAYO,ベストシーズン — 9月〜5月
abu-simbel,descriptors,Egypt's deep south · A 43° summer · Winter perfection,El extremo sur de Egipto · Un verano de 43° · Perfección invernal,エジプト最南の地 · 43℃の夏 · 完璧な冬
abu-simbel,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
abu-simbel,troughText,10° — January nights,10° — noches de enero,10℃ — 1月の夜
abu-simbel,caption,"The hottest ticket in Egypt in every sense: summer afternoons past 43°, which is why the temples are a dawn appointment — and why winter here is simply perfect.","La entrada más «caliente» de Egipto en todos los sentidos: tardes de verano que superan los 43°, razón por la cual los templos se visitan al amanecer — y por la que el invierno aquí es sencillamente perfecto.",あらゆる意味でエジプト最も「熱い」観光地——夏の午後は43℃を超え、だからこそ神殿は夜明けに訪れるべき場所となる。そして、だからこそここの冬はまさに完璧だ。
abu-simbel,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
akhmim,descriptors,Middle Egypt light · Dry heat · Cool river nights,La luz del Egipto Medio · Calor seco · Noches frescas junto al río,中部エジプトの光 · 乾いた暑さ · 涼しい川辺の夜
akhmim,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
akhmim,troughText,7° — January nights,7° — noches de enero,7℃ — 1月の夜
akhmim,caption,"Weaving-town weather: dry, bright and workmanlike — see it with Sohag and Abydos in the winter months, when the light does the tapestries justice.","Clima de ciudad tejedora: seco, luminoso y sin adornos — visítala junto con Sohag y Abidos en los meses de invierno, cuando la luz hace justicia a los tapices.",織物の街にふさわしい気候——乾いていて明るく、実直そのもの。ソハーグやアビドスと合わせて冬の間に訪れれば、光が織物の美しさを最も引き立ててくれる。
akhmim,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
al-fayoum,descriptors,Desert lakes · Cairo’s countryside · Cold winter dawns,Lagos del desierto · El campo de El Cairo · Amaneceres invernales fríos,砂漠の湖 · カイロの田園地帯 · 冷え込む冬の夜明け
al-fayoum,gapText,15° between noon and midnight,15° entre el mediodía y la medianoche,正午から真夜中まで15℃差
al-fayoum,troughText,6° — January dawns by the lake,6° — amaneceres de enero junto al lago,6℃ — 湖畔の1月の夜明け
al-fayoum,caption,"Fayoum is Cairo’s weather with the city removed: clearer, quieter, a shade colder at dawn — and the Valley of the Whales is a winter walk, not a summer one.","Fayum es el clima de El Cairo sin la ciudad: más claro, más silencioso, algo más frío al amanecer — y el Valle de las Ballenas es una caminata de invierno, no de verano.",ファイユームはカイロと同じ気候から街だけを取り除いたような場所——より澄んでいて、より静かで、夜明けはいくらか冷え込む。そして「クジラの谷」は夏ではなく冬に歩くべき場所だ。
al-fayoum,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
al-minya,descriptors,Northern Upper Egypt · Bright and dry · Chilly winter nights,El norte del Alto Egipto · Luminoso y seco · Noches de invierno frías,上エジプト北部 · 明るく乾燥 · 肌寒い冬の夜
al-minya,gapText,15° between noon and midnight,15° entre el mediodía y la medianoche,正午から真夜中まで15℃差
al-minya,troughText,5° — the valley's coldest January nights,5° — las noches de enero más frías del valle,5℃ — ナイル渓谷で最も冷え込む1月の夜
al-minya,caption,"Middle Egypt runs a degree cooler than the deep south — Amarna and Beni Hasan are winter mornings at their best, with a jacket for the boat crossing.","El Egipto Medio es un grado más fresco que el extremo sur — Amarna y Beni Hasan se disfrutan mejor en las mañanas de invierno, con una chaqueta para la travesía en barca.",中部エジプトは最南部より1度ほど涼しい——アマルナやベニ・ハサンを訪れるなら冬の朝が一番で、渡し舟に乗るときはジャケットを一枚。
al-minya,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
al-wadi-al-gadid,descriptors,The New Valley · Deep-desert dry · Vast skies,El Nuevo Valle · Sequedad de desierto profundo · Cielos inmensos,ニューバレー県 · 深い砂漠の乾燥 · 広大な空
al-wadi-al-gadid,gapText,18° — the deep-desert swing,18° — la oscilación del desierto profundo,18℃ — 深い砂漠特有の寒暖差
al-wadi-al-gadid,troughText,4° — desert January nights,4° — noches de enero en el desierto,4℃ — 砂漠の1月の夜
al-wadi-al-gadid,caption,"The governorate that holds Kharga, Dakhla and Baris in one enormous quiet: true deep-desert weather — rainless, huge-skied, and cold the moment the sun leaves.","La gobernación que reúne a Kharga, Dakhla y Baris en una calma inmensa: clima de desierto profundo genuino — sin lluvias, de cielos enormes, y frío en cuanto el sol se retira.",ハルガ、ダーヒラ、バリスを一つの広大な静寂の中に抱える県——真の深砂漠気候だ。雨は降らず、空は途方もなく広く、太陽が沈んだ瞬間に冷え込む。
al-wadi-al-gadid,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
aswan,descriptors,Driest place on the Nile · Warm winters · A summer plateau,El lugar más seco del Nilo · Inviernos cálidos · Una meseta de verano,ナイル川流域で最も乾燥した地 · 温暖な冬 · 灼熱の夏
aswan,gapText,"a 42° plateau, 16° cooler by night","una meseta de 42°, 16° más fresca por la noche",42℃の酷暑、夜は16℃涼しくなる
aswan,troughText,9° — January nights,9° — noches de enero,9℃ — 1月の夜
aswan,caption,"The hottest inhabited stretch of the river, and the driest — rain is a news event here. Winter afternoons are when Aswan feels most generous: warm, dry, and made for the water.","El tramo habitado más caluroso del río, y el más seco — aquí la lluvia es noticia. Las tardes de invierno son cuando Asuán se muestra más generosa: cálida, seca y hecha para el agua.",この川沿いで人が暮らす区間の中でもっとも暑く、もっとも乾燥した場所——ここでは雨が降るとニュースになる。アスワンが最も気前よく感じられるのは冬の午後だ。温暖で乾いていて、水辺で過ごすのにうってつけになる。
aswan,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
asyut,descriptors,Middle Egypt's capital · Dry heat · Cool nights,La capital del Egipto Medio · Calor seco · Noches frescas,中部エジプトの中心都市 · 乾いた暑さ · 涼しい夜
asyut,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
asyut,troughText,6° — January nights,6° — noches de enero,6℃ — 1月の夜
asyut,caption,"University-city weather in the middle of the valley: hot and dry with the desert close on both sides — winter is the season, and the monasteries above town are its reward.","Clima de ciudad universitaria en pleno centro del valle: caluroso y seco, con el desierto cerca por ambos lados — el invierno es la temporada, y los monasterios sobre la ciudad son su recompensa.",ナイル渓谷のちょうど真ん中に位置する大学都市の気候——両側から砂漠が迫り、暑く乾いている。ベストシーズンは冬で、街を見下ろす丘の修道院群がその褒美となる。
asyut,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
beni-suef,descriptors,Valley gateway · Dry and bright · Mild winters,Puerta de entrada al valle · Seco y luminoso · Inviernos suaves,渓谷への玄関口 · 乾燥して明るい · 穏やかな冬
beni-suef,gapText,14° between noon and midnight,14° entre el mediodía y la medianoche,正午から真夜中まで14℃差
beni-suef,troughText,6° — January nights,6° — noches de enero,6℃ — 1月の夜
beni-suef,caption,"The first breath of Upper Egypt south of Cairo: a degree warmer, noticeably drier, and on the way to Meidum's pyramid — a winter-morning stop if there ever was one.","El primer soplo del Alto Egipto al sur de El Cairo: un grado más cálido, notablemente más seco, y de camino a la pirámide de Meidum — una parada de mañana de invierno donde las haya.",カイロの南、上エジプトの最初の息吹を感じる街——1度ほど暖かく、明らかに乾燥していて、メイドゥームのピラミッドへ向かう途中にある。まさに冬の朝に立ち寄るべき場所だ。
beni-suef,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
edfu,descriptors,Cruise-morning weather · Dry heat · Clear skies,Clima de mañana de crucero · Calor seco · Cielos despejados,クルーズの朝にふさわしい気候 · 乾いた暑さ · 澄んだ空
edfu,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
edfu,troughText,8° — January nights,8° — noches de enero,8℃ — 1月の夜
