filename_needed,type,city,title,page_url,current_image_shows
dahab-historical-guide.jpg,guideArticle,Dahab,Dahab Historical Guide,https://travel2egypt.org/guide/dahab/dahab-historical-guide,turquoise Red Sea beach bay with sun umbrellas and boats
food-in-dakhla-oasis.jpg,guideArticle,Dakhla Oasis,Food in Dakhla Oasis,https://travel2egypt.org/guide/dakhla-oasis/food-in-dakhla-oasis,Man in traditional dress walking across desert dunes
hotels-in-dakhla-oasis.jpg,guideArticle,Dakhla Oasis,Hotels in Dakhla Oasis,https://travel2egypt.org/guide/dakhla-oasis/hotels-in-dakhla-oasis,silhouetted group watching sunset over desert dunes
only-here-in-dakhla-oasis.jpg,guideArticle,Dakhla Oasis,Only Here In Dakhla Oasis,https://travel2egypt.org/guide/dakhla-oasis/only-here-in-dakhla-oasis,painted hieroglyphic relief on a temple wall/column
edfu-historical-guide.jpg,guideArticle,Edfu,Edfu Historical Guide,https://travel2egypt.org/guide/edfu/edfu-historical-guide,Medinet Habu / Nile-valley temple wall with pharaonic reliefs and palm
how-to-go-to-edfu.jpg,guideArticle,Edfu,How To Go To Edfu,https://travel2egypt.org/guide/edfu/how-to-go-to-edfu,Egyptian temple relief of pharaoh offering to enthroned deities
al-gouna-festivals-and-celebrations.jpg,guideArticle,El Gouna,Al Gouna Festivals And Celebrations,https://travel2egypt.org/guide/al-gouna/al-gouna-festivals-and-celebrations,turquoise Red Sea beach bay with sun umbrellas and boats
getting-around-in-al-gouna.jpg,guideArticle,El Gouna,Getting Around in Al Gouna,https://travel2egypt.org/guide/al-gouna/getting-around-in-al-gouna,colorful Red Sea coral reef with tropical fish
stay-in-al-gouna.jpg,guideArticle,El Gouna,Stay in Al Gouna,https://travel2egypt.org/guide/al-gouna/stay-in-al-gouna,Two dolphins in turquoise water
history-of-farafra-oasis.jpg,guideArticle,Farafra Oasis,History of Farafra Oasis,https://travel2egypt.org/guide/farafra-oasis/history-of-farafra-oasis,Turquoise desert salt lake with two bathers (Siwa-style)
qasr-al-farafra.jpg,guideArticle,Farafra Oasis,Qasr Al-Farafra,https://travel2egypt.org/guide/farafra-oasis/qasr-al-farafra,Turquoise salt lake ringed by white salt mounds (oasis salt lake)
top-hotels-in-giza.jpg,guideArticle,Giza,Top Hotels in Giza,https://travel2egypt.org/guide/giza/top-hotels-in-giza,Giza pyramids with tourists on camels
arrival-in-hurghada.jpg,guideArticle,Hurghada,Arrival in Hurghada,https://travel2egypt.org/guide/hurghada/arrival-in-hurghada,abstract red desert sand meeting white surface (White Desert-like)
hurghada-aquarium.jpg,guideArticle,Hurghada,Hurghada Aquarium,https://travel2egypt.org/guide/hurghada/hurghada-aquarium,"great white shark, open jaws, underwater from below"
hurghada-marina.jpg,guideArticle,Hurghada,Hurghada Marina,https://travel2egypt.org/guide/hurghada/hurghada-marina,"turquoise beach and sea with swimmers, white sand"
activities-in-hurghada.jpg,guideArticle,Hurghada,Top Activities in Hurghada : What Not to Miss,https://travel2egypt.org/guide/hurghada/activities-in-hurghada,"aquarium tunnel with rays and fish, family silhouetted"
ismailia-arrival-guide.jpg,guideArticle,Ismailia,Ismailia Arrival Guide,https://travel2egypt.org/guide/ismailia/ismailia-arrival-guide,grand ornate hotel lobby with chandeliers and equestrian statue
getting-around-in-kharga-oasis.jpg,guideArticle,Kharga Oasis,Getting Around In Kharga Oasis,https://travel2egypt.org/guide/kharga-oasis/getting-around-in-kharga-oasis,People around a campfire beside a desert lake at dusk
kharga-unearthed.jpg,guideArticle,Kharga Oasis,Kharga unearthed,https://travel2egypt.org/guide/kharga-oasis/kharga-unearthed,"red-rock desert with arches/scrub (US Southwest, not Egypt)"
annual-events-in-kom-ombo.jpg,guideArticle,Kom Ombo,Annual Events In Kom Ombo,https://travel2egypt.org/guide/kom-ombo/annual-events-in-kom-ombo,riverside temple with kiosk columns on the Nile (Philae/Aswan area)
arrival-in-kom-ombo.jpg,guideArticle,Kom Ombo,Arrival in Kom Ombo,https://travel2egypt.org/guide/kom-ombo/arrival-in-kom-ombo,painted hypostyle hall columns with hieroglyphs (Egyptian temple interior)
public-transport-in-kom-ombo.jpg,guideArticle,Kom Ombo,Public Transport in Kom Ombo,https://travel2egypt.org/guide/kom-ombo/public-transport-in-kom-ombo,Temple relief of vulture goddesses with ankh symbols and hieroglyphs
where-to-sleep-in-kom-ombo.jpg,guideArticle,Kom Ombo,Where to Sleep in Kom Ombo,https://travel2egypt.org/guide/kom-ombo/where-to-sleep-in-kom-ombo,"Philae Temple pylon and courtyard, Aswan"
cultural-events-in-luxor.jpg,guideArticle,Luxor,Cultural Events In Luxor,https://travel2egypt.org/guide/luxor/cultural-events-in-luxor,"Colossi of Memnon, Luxor west bank"
luxor-local-transport-guide.jpg,guideArticle,Luxor,Luxor Local Transport Guide,https://travel2egypt.org/guide/luxor/luxor-local-transport-guide,"colourful painted temple ceiling and columns (Dendera/Esna-style, Luxor region)"
getting-around-in-marsa-alam.jpg,guideArticle,Marsa Alam,Getting Around In Marsa Alam,https://travel2egypt.org/guide/marsa-alam/getting-around-in-marsa-alam,Red Sea turquoise bay with yachts and swimmers
marsa-alam-arrival-guide.jpg,guideArticle,Marsa Alam,Marsa Alam Arrival Guide,https://travel2egypt.org/guide/marsa-alam/marsa-alam-arrival-guide,colorful Red Sea coral reef with tropical fish
marsa-alam-flavors.jpg,guideArticle,Marsa Alam,Marsa alam flavors,https://travel2egypt.org/guide/marsa-alam/marsa-alam-flavors,Wooden pier over calm Red Sea beach at sunset
things-to-do-in-marsa-matruh.jpg,guideArticle,Marsa Matruh,Things to Do in Marsa Matruh,https://travel2egypt.org/guide/marsa-matruh/things-to-do-in-marsa-matruh,Wooden pier over calm Red Sea beach at sunset
nuweiba-dining-experiences.jpg,guideArticle,Nuweiba,Culinary Scene,https://travel2egypt.org/guide/nuweiba/nuweiba-dining-experiences,turquoise Red Sea beach bay with sun umbrellas and boats
cultural-events-in-nuweiba.jpg,guideArticle,Nuweiba,Cultural Events In Nuweiba,https://travel2egypt.org/guide/nuweiba/cultural-events-in-nuweiba,People around a campfire beside a desert lake at dusk
getting-around-nuweiba.jpg,guideArticle,Nuweiba,Getting Around Nuweiba,https://travel2egypt.org/guide/nuweiba/getting-around-nuweiba,Underwater Red Sea reef with fish
waterfront-quarter-port-said.jpg,guideArticle,Port Said,Waterfront Quarter in Port Said,https://travel2egypt.org/guide/port-said/waterfront-quarter-port-said,tropical palm beach with blue loungers and calm sea
navigating-qena.jpg,guideArticle,Qena,Navigating Qena,https://travel2egypt.org/guide/qena/navigating-qena,Egyptian temple relief of pharaoh offering to enthroned deities
ticket-prices-for-attractions-in-qena.jpg,guideArticle,Qena,Ticket Prices for Attractions in Qena,https://travel2egypt.org/guide/qena/ticket-prices-for-attractions-in-qena,Tourist photographing columns of a Nile-valley temple (Kom Ombo)
top-hotels-in-qena.jpg,guideArticle,Qena,Top Hotels in Qena,https://travel2egypt.org/guide/qena/top-hotels-in-qena,Abu Simbel / Nubian rock-cut temple carvings and statues
transport-to-qena.jpg,guideArticle,Qena,Transport to Qena,https://travel2egypt.org/guide/qena/transport-to-qena,"Temple wall reliefs with Horus falcon statue (Edfu-style, Nile valley)"
getting-there.jpg,travelTip,,Getting There,https://travel2egypt.org/travel-tips/getting-there,Man in traditional dress walking across desert dunes
hyatt-regency-sharm-el-sheikh.jpg,hotel,,Hyatt Regency Sharm El-Sheikh,https://travel2egypt.org/hotels/hyatt-regency-sharm-el-sheikh,aerial view of Hurghada Red Sea resort coastline
