reviewed_class,regex_class,doc_id,doc_type,locale,title,slug,field_path,context,note,owner_decision
STALE_FIX,STALE_CLAIM,wp-page-89015,tour,es,"Love on the Nile: A 10-Day Romantic Egypt Tour",the-romantic-egypt-tour,body[1][_key==es].value[25]," entre las mayores estructuras jamás hechas. La Gran Esfinge, tallada en el mismo lecho calcáreo, está debajo de la pirámide de Kefrén, con su identidad y propósito todavía discutidos. El Museo de la Barca Solar alberga una barca funeraria descubierta desmontada en una fosa en la base de la pirámide de Keops en 1954 —reensamblada, mide 43 metros de largo, está hecha de cedro libanés y es notablemente íntegra después de 4500 años—. Un paseo en camello por e","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89015,tour,ja,"Love on the Nile: A 10-Day Romantic Egypt Tour",the-romantic-egypt-tour,body[2][_key==ja].value[25],"九日目は、エジプト文明が外の世界にもっとも即座に読める場所から始まります。ギザ高原のクフ王の大ピラミッド、カフラー王のピラミッド、メンカウラー王のピラミッドは紀元前2500年ごろに築かれ、いまも史上最大級の構造物のひとつです。大スフィンクスは同じ石灰岩の岩盤から掘り出され、カフラー王のピラミッドの足元に座します——その正体と用途はいまも論争の的です。太陽の船博物館は、1954年にクフ王ピラミッド基部のピットで解体状態で発見された葬礼用の船を収めます——再組立てされた船は全長43メートル、レバノン杉製、4500年経ったいまもめざましく無傷です。砂漠を渡るラクダ乗りは、高原に別の角度を与えます。","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89452,tour,en,"The Holy Family Trail: Fifteen Days Through Coptic Egypt and the Ancient Nile",the-holy-family-trip-in-egypt,body[0][_key==en].value[7],"Giza holds the three pyramids of the Fourth Dynasty: Khufu, Khafre, and Menkaure, built around 2500 BC, with the Great Sphinx crouched below them. The Solar Boat Museum on the south side of the Great Pyramid holds the reconstructed cedar vessel buried beside Khufu's tomb, dismantled into 1,224 pieces and recovered in 1954. Memphis, the first capital of a unified Egypt, holds the fallen limestone colossus of ","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89452,tour,es,"The Holy Family Trail: Fifteen Days Through Coptic Egypt and the Ancient Nile",the-holy-family-trip-in-egypt,body[1][_key==es].value[7],"Guiza alberga las tres pirámides de la IV Dinastía: Keops, Kefrén y Micerinos, levantadas hacia el 2500 a. C., con la Gran Esfinge agazapada a sus pies. El Museo de la Barca Solar, al sur de la Gran Pirámide, custodia la embarcación de cedro reconstruida que fue enterrada junto a la tumba de Keops, desmontada en 1.224 piezas y recuperada en 1954. Menfis, la primera capital del Egipto unificado, conserva el colosal de caliza ","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89452,tour,ja,"The Holy Family Trail: Fifteen Days Through Coptic Egypt and the Ancient Nile",the-holy-family-trip-in-egypt,body[2][_key==ja].value[7],"ギザには第四王朝の三つのピラミッドがあります。クフ、カフラー、メンカウラー、紀元前2500年頃に築かれ、その足元に大スフィンクスがうずくまっています。大ピラミッドの南側にある太陽の船博物館には、クフ王の墓のそばに埋められていたレバノン杉の船が再構成して収められています。1,224の部材に解体された状態で1954年に発見されたものです。エジプト統一の最初の首都メンフィスには、横たわるラムセス二世の石灰岩の巨像と、大きなアラバスター製のスフィンクスがあります。サッカラはすべての並びを書き換えます。ジェセル王の階段ピラミッド、紀元前2670年頃、地上最古の大規模石造建築——イムホテプがマスタバの積み重ねからピラミッドへの変換を、段階を踏んで考え抜いた建物です。聖家族が到着したとされる頃には、","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89524,tour,en,"13-Day Egypt Tour: Cairo, the Nile, Luxor, Sinai and the Red Sea",13-day-impressive-egypt-tour,body[0][_key==en].value[17],"The day continues to Giza and the three pyramids of the Old Kingdom — Khufu, Khafre, and Menkaure, built around 2500 BC — and the Great Sphinx below. The Solar Boat Museum at the foot of the Great Pyramid holds one of the cedar vessels buried for the pharaoh's afterlife. A camel ride across the plateau is available and worth taking.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89524,tour,es,"13-Day Egypt Tour: Cairo, the Nile, Luxor, Sinai and the Red Sea",13-day-impressive-egypt-tour,body[1][_key==es].value[17],"La jornada continúa hasta Guiza y las tres pirámides del Imperio Antiguo —Keops, Kefrén y Micerinos, levantadas hacia 2500 a. C.— y la Gran Esfinge debajo. El Museo de la Barca Solar, al pie de la Gran Pirámide, conserva uno de los buques de cedro enterrados para el más allá del faraón. Un paseo en camello por la meseta está disponible y merece la pena.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89524,tour,ja,"13-Day Egypt Tour: Cairo, the Nile, Luxor, Sinai and the Red Sea",13-day-impressive-egypt-tour,body[2][_key==ja].value[17],"そのまま一日はギザへ進み、古王国の三大ピラミッド——クフ、カフラー、メンカウラー（紀元前2500年ごろ）——と足元の大スフィンクスをご覧いただきます。大ピラミッド南麓の太陽の船博物館にはファラオの来世のために埋められた杉の船一隻が収まります。高原を渡るラクダ乗りも可能で、選ぶ価値があります。","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89558,tour,en,"8-Day Essential Egypt Tour: Cairo, Alexandria, Aswan and Luxor",essential-egypt,body[0][_key==en].value[7],"around 2560 BC and for nearly four thousand years the tallest structure on earth — the Pyramid of Khafre, the Pyramid of Menkaure, and the Great Sphinx form a complex that rewards slow attention. The Solar Boat Museum at the base of Khufu's pyramid holds the reconstructed cedar vessel buried beside the pyramid around 2500 BC, disassembled into 1,224 pieces and reassembled after its excavation in 1954. A camel ride across the plateau gives the scale.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89558,tour,es,"8-Day Essential Egypt Tour: Cairo, Alexandria, Aswan and Luxor",essential-egypt,body[1][_key==es].value[7],"durante casi cuatro mil años la estructura más alta del planeta—, la pirámide de Kefrén, la pirámide de Micerinos y la Gran Esfinge forman un complejo que recompensa la atención lenta. El Museo de la Barca Solar en la base de la pirámide de Keops conserva el buque de cedro reconstruido enterrado junto a ella hacia 2500 a. C., desmontado en 1224 piezas y reensamblado tras su excavación en 1954. Un paseo en camello por la meseta da la escala.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89558,tour,ja,"8-Day Essential Egypt Tour: Cairo, Alexandria, Aswan and Luxor",essential-egypt,body[2][_key==ja].value[7],"続くカイロの一日は、旅でもっとも重い日です——ピラミッド建設の3000年を一周します。ギザでは、クフ王の大ピラミッド——紀元前2560年ごろ建造、4000年近くにわたり地上最高の建造物——、カフラー王のピラミッド、メンカウラー王のピラミッド、大スフィンクスが、ゆっくりとした注意に報いる複合体を成しています。クフ王ピラミッドの麓の太陽の船博物館は、紀元前2500年ごろにピラミッドのそばに埋められた杉の船を収めます——1,224の部材に解体され、1954年の発掘ののち再組立てされました。高原を渡るラクダ乗りで規模をつかめます。","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89602,tour,en,"Timeless Wonders: 10-Days Eternal Egypt Tour",10-days-eternal-egypt-tour,body[0][_key==en].value[1]," the city's dynamic streets. Giza's Timeless Wonders: Return to Cairo for another day to witness the timeless majesty of the Great Pyramids of Giza. Revel in a unique camel ride, visit the intriguing Solar Boat Museum, and delve into the ancient cities of Memphis and Saqqara, plus the Pyramids of Dahshur. Cap the day with an exquisite dinner overlooking the pyramids.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89602,tour,en,"Timeless Wonders: 10-Days Eternal Egypt Tour",10-days-eternal-egypt-tour,days[3].morning[0][_key==en].value[0],"Journey back to Cairo for a day at the iconic Great Pyramids of Giza. Enjoy a camel ride, visit the Solar Boat Museum, and explore the ancient cities of Memphis and Saqqara, plus the pyramids of Dahshur. End your day with fine dining overlooking the pyramids.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89602,tour,es,"Timeless Wonders: 10-Days Eternal Egypt Tour",10-days-eternal-egypt-tour,days[3].morning[1][_key==es].value[0],"Regresa a El Cairo para pasar un día en las emblemáticas Grandes Pirámides de Guiza.  Disfruta de un paseo en camello, visita el Museo del Barco Solar y explora las antiguas ciudades de Menfis y Saqqara, además de las pirámides de Dahshur.  Termina el día con una buena cena con vistas a las pirámides. ","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89602,tour,ja,"Timeless Wonders: 10-Days Eternal Egypt Tour",10-days-eternal-egypt-tour,days[3].morning[2][_key==ja].value[0],"カイロへ戻り、ギザの大ピラミッド で壮大な歴史の息吹を感じる1日をお過ごしください。ピラミッドの麓で ラクダに乗る特別な体験 を楽しみ、古代の航海術を伝える 太陽の船博物館 を訪れます。","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89619,tour,en,"Pharaohs' Legacy: A 10-Day Egypt and Nile Tour",egypt-and-the-nile-tour,body[0][_key==en].value[28],"ure, and the Great Sphinx below them. You have spent a week in pharaonic Egypt by now, which changes how you read Giza — the plateau makes more sense after Saqqara, after Luxor, after Abu Simbel. The Solar Boat Museum alongside the Great Pyramid holds the remarkably preserved cedar boat found dismantled in a pit at the base of the pyramid in 1954, intended to carry the king into the afterlife. A camel ride across the plateau offers the view that the ninete","itinerary still sends guests to the closed on-site Solar Boat Museum | ⚠ OWNER_EDITED pending draft on this tour — coordinate fix with draft",
STALE_FIX,STALE_CLAIM,wp-page-89619,tour,es,"Pharaohs' Legacy: A 10-Day Egypt and Nile Tour",egypt-and-the-nile-tour,body[1][_key==es].value[28],"estas alturas se han pasado una semana en el Egipto faraónico, lo que cambia cómo se lee Guiza: la meseta tiene más sentido después de Saqqara, después de Luxor, después de Abu Simbel. El Museo de la Barca Solar junto a la Gran Pirámide conserva el barco de cedro extraordinariamente conservado encontrado desmontado en una fosa en la base de la pirámide en 1954, destinado a llevar al rey al más allá. Un paseo en camello por la meseta ofrece la vista que los","itinerary still sends guests to the closed on-site Solar Boat Museum | ⚠ OWNER_EDITED pending draft on this tour — coordinate fix with draft",
STALE_FIX,STALE_CLAIM,wp-page-89619,tour,ja,"Pharaohs' Legacy: A 10-Day Egypt and Nile Tour",egypt-and-the-nile-tour,body[2][_key==ja].value[28],"最後から二日目は、三つのエジプトを同じ画面に収めます。ギザ高原から始めるのが正しい順序です——紀元前2560年ごろのクフ王の大ピラミッド、カフラー王のピラミッド、メンカウラー王のピラミッド、そして足元の大スフィンクス。ファラオのエジプトに一週間滞在したいまは、ギザの読み方が変わります——サッカラのあと、ルクソールのあと、アブ・シンベルのあとに見るギザは、別の意味を持ち始めます。大ピラミッドのそばの太陽の船博物館は、1954年にピラミッド基部のピットで解体状態で発見された、めざましく保存状態のよい杉の船を収めます——王を来世に運ぶための船です。高原を渡るラクダ乗りは、19世紀の銅版画に有名になった眺めを差し出します。","itinerary still sends guests to the closed on-site Solar Boat Museum | ⚠ OWNER_EDITED pending draft on this tour — coordinate fix with draft",
CORRECT_TEACHES_MOVE,NEUTRAL,wp-post-152426-en,article,en,"Visiting the Giza Pyramids Without Getting Worn Down",how-to-avoid-scams-at-giza-pyramids,body[25],"Giza is a place where a good guide really deepens understanding. Pyramids, funerary complex, Sphinx, valley temple, the solar boat, the workers' town — with explanation, the plateau reads.","plateau highlights list mentions boat; same article teaches the move — minor, optional tweak",
CORRECT_TEACHES_MOVE,NEUTRAL,wp-post-155592-es,article,es,"Cómo evitar problemas en las pirámides de Guiza",como-evitar-estafas-en-las-piramides-de-giza,body[40],"La barca solar ya no se ve como antes en la meseta","article explicitly explains the boat moved off the plateau",
CORRECT_TEACHES_MOVE,NEUTRAL,wp-post-172237-ja,article,ja,"ギザのピラミッドで困らないために",giza-no-piramiddo-de-komara-nai-tame-ni,body[25],"ギザは、よいガイドがいると本当に理解が深まる場所です。ピラミッド、葬祭複合体、スフィンクス、河岸神殿、太陽の船、労働者の町の話は、説明があると台地全体が読みやすくなります。","plateau highlights list mentions boat; same article teaches the move — minor, optional tweak",
CORRECT_TEACHES_MOVE,STALE_CLAIM,wp-post-144443-es,article,es,"Un día en las pirámides de Guiza: cómo organizar la visita",itinerario-de-1-dia-por-las-piramides-de-guiza-disfruta-de-las-maravillas-del-antiguo-egipto,body[46],"La barca solar de Keops ya no se visita en el antiguo museo junto a la pirámide.","article explicitly explains the boat moved off the plateau",
CORRECT_TEACHES_MOVE,STALE_CLAIM,wp-post-152426-en,article,en,"Visiting the Giza Pyramids Without Getting Worn Down",how-to-avoid-scams-at-giza-pyramids,body[39],"The solar boat is at the museum, not the plateau","article explicitly explains the boat moved off the plateau",
CORRECT_TEACHES_MOVE,STALE_CLAIM,wp-post-152426-en,article,en,"Visiting the Giza Pyramids Without Getting Worn Down",how-to-avoid-scams-at-giza-pyramids,body[40],"Previously, Khufu's solar boat could be seen at a dedicated museum on the Giza plateau.","article explicitly explains the boat moved off the plateau",
CORRECT_TEACHES_MOVE,STALE_CLAIM,wp-post-155592-es,article,es,"Cómo evitar problemas en las pirámides de Guiza",como-evitar-estafas-en-las-piramides-de-giza,body[41],"Durante mucho tiempo, la barca solar de Keops se visitaba en un museo junto a la Gran Pirámide.","article explicitly explains the boat moved off the plateau",
CORRECT_TEACHES_MOVE,STALE_CLAIM,wp-post-172237-ja,article,ja,"ギザのピラミッドで困らないために",giza-no-piramiddo-de-komara-nai-tame-ni,body[39],"太陽の船は台地ではなく博物館へ","article explicitly explains the boat moved off the plateau",
CORRECT_TEACHES_MOVE,STALE_CLAIM,wp-post-172237-ja,article,ja,"ギザのピラミッドで困らないために",giza-no-piramiddo-de-komara-nai-tame-ni,body[40],"以前、クフ王の太陽の船はギザ台地内の専用博物館で見られました。","article explicitly explains the boat moved off the plateau",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,en,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[0][_key==en].value[0],"It was moved there in August 2021, and the original Solar Boat Museum building beside the Great Pyramid was dismantled after the transfer. Visitors looking for the boat should go to the Grand Egyptian Museum, not the Giza Plateau.","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,en,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[0][_key==en].value[15]," the presence of wood without opening the pit fully. The second boat was subsequently excavated by a Japanese team from Waseda University, beginning in the 2010s. Both boats — the first (the original Solar Boat) and the second — are now displayed in the Khufu Ships hall at the Grand Egyptian Museum. The second boat has been restored and is displayed publicly for the first time at the GEM.","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,en,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[0][_key==en].value[17],"The Solar Boat is at the Grand Egyptian Museum, approximately 2 kilometres from the Giza Plateau at the foot of the pyramid site.","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,en,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,summary[0][_key==en].value,"The Solar Boat of Khufu — the oldest intact ship in the world — is now displayed in a dedicated hall at the Grand Egyptian Museum at the foot of the Giza Plateau.","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,es,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[1][_key==es].value[0],"La Barca Solar de Keops — el barco intacto más antiguo del mundo — se exhibe hoy en una sala dedicada en el Gran Museo Egipcio (GEM), a los pies de la meseta de Guiza. Fue trasladada allí en agosto de 2021 y el edificio original del Museo de la Barca Solar junto ","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,es,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[1][_key==es].value[11],"cia de madera sin abrir la fosa por completo. La segunda barca fue excavada posteriormente por un equipo japonés de la Universidad Waseda, a partir de la década de 2010. Ambas barcas — la primera (la Barca Solar original) y la segunda — se exhiben ahora en la sala del Museo de las Barcas de Keops en el Gran Museo Egipcio. La segunda barca ha sido restaurada y se expone al público por primera vez en el GEM.","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,es,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[1][_key==es].value[13],"La Barca Solar se encuentra en el Gran Museo Egipcio, situado a unos 2 kilómetros de la meseta de Guiza a los pies del yacimiento de las pirámides. Es uno de los principales atractivos del GEM. La fosa original junto a la Gran Pirámide en la meseta — donde la bar","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,es,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,seo.metaDescription[0][_key==es].value,"La Barca Solar de Keops — el barco intacto más antiguo del mundo — se exhibe hoy en una sala dedicada en el Gran Museo Egipcio (GEM), a los pies de la…","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,ja,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[2][_key==ja].value[18],"1987年、合同調査隊が密閉された坑に穴を開け、坑を完全に開けることなく、マイクロプローブを用いて木材の存在を確認しました。第二の船はその後、2010年代に始まった早稲田大学の日本のチームによって発掘されました。第一の船（元の太陽の船）と第二の船は、ともに現在、大エジプト博物館のクフ王の船ホールに展示されています。第二の船は修復され、GEMで初めて一般に公開されています。","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,ja,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[2][_key==ja].value[2],"クフ王の太陽の船、世界で最も古い無傷の船は、現在ギザ台地のふもとの大エジプト博物館の専用ホールに展示されています。","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,ja,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[2][_key==ja].value[20],"太陽の船は、ギザ台地から約2キロ、ピラミッド遺跡のふもとの大エジプト博物館にあります。","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,ja,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[2][_key==ja].value[3],"2021年8月にそこへ移され、移送後、大ピラミッドのそばにあった元の太陽の船博物館の建物は解体されました。船を探す訪問者は、ギザ台地ではなく大エジプト博物館へ向かってください。","dedicated page, states GEM location + museum dismantled",
CORRECT_GEM,GEM_AWARE,guideArticle.giza.tours-in-giza,guideArticle,es,"Top Tours In Giza",tours-in-giza,body[1][_key==es].value[7]," Antiguo Egipto del mundo, incluida la colección completa de Tutankamón de aproximadamente 5000 objetos. El atrio principal contiene una estatua de Ramsés II de 12 metros; una sala dedicada expone la Barca Solar de Keops, una embarcación de cedro de 43 metros enterrada junto a la Gran Pirámide hacia el año 2500 a. C. y excavada en 1954.","describes the boat at the GEM — accurate",
CORRECT_GEM,NEUTRAL,guideArticle.giza.tours-in-giza,guideArticle,ja,"Top Tours In Giza",tours-in-giza,body[2][_key==ja].value[13],"大アトリウムには高さ約12mのラムセス2世像が立ち、クフ王の太陽の船も専用空間で展示されています。ツタンカーメンの資料群を中心に、展示規模は非常に大きく、短時間で見切れる場所ではありません。","describes the boat at the GEM — accurate",
CORRECT_GEM,STALE_CLAIM,guideArticle.giza.tours-in-giza,guideArticle,en,"Top Tours In Giza",tours-in-giza,body[0][_key==en].value[9],"The main atrium contains a 12-metre statue of Ramses II; a dedicated hall displays the Solar Boat of Khufu, a 43-metre cedar vessel buried beside the Great Pyramid around 2500 BC and excavated in 1954.","describes the boat at the GEM — accurate",
CORRECT_GEM,STALE_CLAIM,wp-page-58854,city,en,"",giza,overview[0][_key==en].value[27],"Located near the plateau at El Remayah Square, it gives Giza a major museum counterpart to the monuments outside. It now holds the complete Tutankhamun collection, the Solar Boat of Khufu, and the widest collection of ancient Egyptian artefacts under one roof. For travellers, that changes the rhythm of a Cairo–Giza itinerary: the pyramids, the Sphinx, and the museum can now be planned as connected parts of the same ancient l","describes the boat at the GEM — accurate",
CORRECT_GEM,STALE_CLAIM,wp-page-58854,city,es,"",giza,overview[1][_key==es].value[27],"eta en la plaza de El Remayah, da a Guiza una gran contraparte museística para los monumentos del exterior. Inaugurado el 1 de noviembre de 2025, alberga ahora la colección completa de Tutankamón, la barca solar de Keops y la mayor colección de objetos del Antiguo Egipto bajo un mismo techo. Para los viajeros, esto cambia el ritmo de un itinerario El Cairo–Guiza: las pirámides, la Esfinge y el museo pueden planificarse ya como partes conectadas del mismo p","describes the boat at the GEM — accurate",
CORRECT_GEM,STALE_CLAIM,wp-page-58854,city,ja,"",giza,overview[2][_key==ja].value[26],"台地近くのエル・レマヤ広場に位置し、外の記念建造物に対応する大規模な博物館をギザに与えています。今ではツタンカーメンの全コレクション、クフ王の太陽の船、そして一つ屋根の下に集まった古代エジプト最大の所蔵品群を収めています。旅行者にとって、これはカイロ＝ギザの旅程のリズムを変えるものです。ピラミッド、スフィンクス、博物館を、街をまたいだ別々の体験としてではなく、同じ古代景観のつながった一部として計画できるようになりました。","describes the boat at the GEM — accurate",
HISTORICAL_OK,NEUTRAL,guideArticle.giza.the-solar-boat-of-khufu,guideArticle,en,"The Solar Boat Of Khufu",the-solar-boat-of-khufu,body[0][_key==en].value[20],"The Solar Boat is a 4,500-year-old object that still looks like a ship.","historical burial/excavation description — accurate",
